Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-0.74,1,-3.56,1,-0.52,1,-0.53,1,-0.5,1,-3.61,1,-0.35,1,-0.29
2,-0.72,2,-3.58,2,-0.54,2,-0.54,2,-0.47,2,-3.62,2,-0.41,2,-0.3
3,-0.7,3,-3.54,3,-0.55,3,-0.52,3,-0.46,3,-3.59,3,-0.44,3,-0.28
4,-0.68,4,-3.5,4,-0.57,4,-0.54,4,-0.44,4,-3.55,4,-0.49,4,-0.3
5,-0.65,5,-3.48,5,-0.59,5,-0.56,5,-0.41,5,-3.53,5,-0.52,5,-0.34
6,-0.62,6,-3.4,6,-0.59,6,-0.55,6,-0.39,6,-3.45,6,-0.54,6,-0.34
7,-0.59,7,-3.4,7,-0.61,7,-0.57,7,-0.36,7,-3.45,7,-0.58,7,-0.36
8,-0.58,8,-3.33,8,-0.61,8,-0.58,8,-0.34,8,-3.39,8,-0.6,8,-0.36
9,-0.57,9,-3.29,9,-0.65,9,-0.61,9,-0.33,9,-3.35,9,-0.64,9,-0.4
10,-0.56,10,-3.2,10,-0.67,10,-0.6,10,-0.32,10,-3.27,10,-0.68,10,-0.38
11,-0.55,11,-3.17,11,-0.65,11,-0.59,11,-0.31,11,-3.24,11,-0.66,11,-0.37
12,-0.54,12,-3.04,12,-0.69,12,-0.57,12,-0.31,12,-3.12,12,-0.69,12,-0.36
13,-0.54,13,-2.99,13,-0.68,13,-0.56,13,-0.31,13,-3.06,13,-0.68,13,-0.34
14,-0.54,14,-2.89,14,-0.71,14,-0.61,14,-0.31,14,-2.96,14,-0.74,14,-0.43
15,-0.54,15,-2.83,15,-0.72,15,-0.64,15,-0.3,15,-2.9,15,-0.76,15,-0.45
16,-0.54,16,-2.74,16,-0.74,16,-0.61,16,-0.3,16,-2.83,16,-0.79,16,-0.43
17,-0.53,17,-2.71,17,-0.76,17,-0.6,17,-0.3,17,-2.8,17,-0.82,17,-0.4
18,-0.53,18,-2.62,18,-0.77,18,-0.61,18,-0.29,18,-2.71,18,-0.85,18,-0.42
19,-0.53,19,-2.55,19,-0.8,19,-0.63,19,-0.29,19,-2.64,19,-0.87,19,-0.46
20,-0.53,20,-2.39,20,-0.82,20,-0.57,20,-0.29,20,-2.49,20,-0.91,20,-0.36
21,-0.52,21,-2.34,21,-0.83,21,-0.69,21,-0.29,21,-2.45,21,-0.94,21,-0.49
22,-0.53,22,-2.27,22,-0.85,22,-0.62,22,-0.29,22,-2.38,22,-0.97,22,-0.45
23,-0.52,23,-2.19,23,-0.88,23,-0.59,23,-0.29,23,-2.3,23,-0.99,23,-0.44
24,-0.52,24,-2.09,24,-0.88,24,-0.63,24,-0.28,24,-2.2,24,-0.98,24,-0.45
25,-0.53,25,-1.98,25,-0.91,25,-0.64,25,-0.28,25,-2.1,25,-1.01,25,-0.46
26,-0.52,26,-1.83,26,-0.91,26,-0.65,26,-0.28,26,-1.96,26,-1.02,26,-0.47
27,-0.52,27,-1.77,27,-0.94,27,-0.69,27,-0.28,27,-1.9,27,-1.05,27,-0.51
28,-0.52,28,-1.63,28,-0.94,28,-0.63,28,-0.28,28,-1.76,28,-1.05,28,-0.44
29,-0.52,29,-1.52,29,-0.96,29,-0.62,29,-0.28,29,-1.66,29,-1.09,29,-0.47
30,-0.52,30,-1.41,30,-0.97,30,-0.69,30,-0.28,30,-1.54,30,-1.1,30,-0.49
31,-0.52,31,-1.31,31,-0.97,31,-0.68,31,-0.29,31,-1.45,31,-1.09,31,-0.52
32,-0.52,32,-1.21,32,-1.0,32,-0.65,32,-0.28,32,-1.33,32,-1.13,32,-0.47
33,-0.52,33,-1.1,33,-1.0,33,-0.67,33,-0.28,33,-1.23,33,-1.12,33,-0.52
34,-0.52,34,-1.04,34,-1.02,34,-0.63,34,-0.28,34,-1.14,34,-1.14,34,-0.46
35,-0.52,35,-0.97,35,-1.04,35,-0.7,35,-0.28,35,-1.06,35,-1.15,35,-0.54
36,-0.52,36,-0.89,36,-1.04,36,-0.68,36,-0.28,36,-0.97,36,-1.16,36,-0.51
37,-0.52,37,-0.86,37,-1.05,37,-0.74,37,-0.28,37,-0.94,37,-1.19,37,-0.59
38,-0.52,38,-0.81,38,-1.09,38,-0.77,38,-0.28,38,-0.86,38,-1.21,38,-0.61
39,-0.52,39,-0.75,39,-1.06,39,-0.7,39,-0.28,39,-0.83,39,-1.2,39,-0.58
