HumNoise SNR,score,WhiteNoise SNR,score.1,Clipping Percentage(%),score.2,Dropout Num,score.3,HumNoise SNR.1,score.4,WhiteNoise SNR.1,score.5,Clipping Percentage(%).1,score.6,Dropout Num.1,score.7
1,0.5908333333333333,1.0,0.22666666666666666,1.0,0.81,1.0,0.8375,1.0,0.5833333333333334,1.0,0.23083333333333333,1.0,0.8191666666666667,1.0,0.9691666666666666
2,0.6,2.0,0.23916666666666667,2.0,0.7783333333333333,2.0,0.8375,2.0,0.6058333333333333,2.0,0.24083333333333334,2.0,0.7675000000000001,2.0,0.9558333333333332
3,0.6083333333333333,3.0,0.25166666666666665,3.0,0.7425,3.0,0.8333333333333334,3.0,0.6058333333333333,3.0,0.25333333333333335,3.0,0.7241666666666666,3.0,0.9466666666666667
4,0.62,4.0,0.2658333333333333,4.0,0.7158333333333333,4.0,0.8300000000000001,4.0,0.6091666666666666,4.0,0.2658333333333333,4.0,0.6916666666666668,4.0,0.9433333333333334
5,0.6308333333333334,5.0,0.2791666666666667,5.0,0.6891666666666666,5.0,0.8308333333333334,5.0,0.6166666666666667,5.0,0.2808333333333333,5.0,0.6616666666666667,5.0,0.94
6,0.6416666666666667,6.0,0.29750000000000004,6.0,0.665,6.0,0.8308333333333334,6.0,0.63,6.0,0.29750000000000004,6.0,0.6375000000000001,6.0,0.9383333333333334
7,0.6516666666666667,7.0,0.3116666666666667,7.0,0.645,7.0,0.8283333333333333,7.0,0.6416666666666667,7.0,0.31,7.0,0.6175,7.0,0.9325
8,0.6641666666666667,8.0,0.33166666666666667,8.0,0.6258333333333334,8.0,0.8283333333333333,8.0,0.6583333333333333,8.0,0.3275,8.0,0.5991666666666667,8.0,0.9391666666666666
9,0.6766666666666666,9.0,0.3491666666666667,9.0,0.6066666666666667,9.0,0.8241666666666667,9.0,0.6708333333333334,9.0,0.345,9.0,0.58,9.0,0.9216666666666667
10,0.6891666666666666,10.0,0.3666666666666667,10.0,0.59,10.0,0.8224999999999999,10.0,0.6891666666666666,10.0,0.36000000000000004,10.0,0.5658333333333333,10.0,0.92
