Hum SNR,score,WhiteNoise SNR,score.1,Clipping Percentage,score.2,Dropout Num,score.3,Hum SNR.1,score.4,WhiteNoise SNR.1,score.5,Clipping Percentage.1,score.6,Dropout Num.1,score.7
1,-1.5651691666666665,1.0,-3.3608833333333332,1.0,-1.5202458333333333,1.0,-1.2856975000000002,1.0,-1.4737941666666667,1.0,-3.357875,1.0,-1.3331925,1.0,-0.2615005083333333
2,-1.6079383333333332,2.0,-3.3568833333333337,2.0,-1.8241166666666666,2.0,-1.2738383333333334,2.0,-1.3563749999999999,2.0,-3.3539999999999996,2.0,-1.7322750000000002,2.0,-0.4055666666666667
3,-1.5546983333333335,3.0,-3.3535,3.0,-1.9838250000000002,3.0,-1.29136,3.0,-1.3674074999999999,3.0,-3.351025,3.0,-2.0077333333333334,3.0,-0.4727616666666667
4,-1.5400933333333333,4.0,-3.351758333333333,4.0,-2.1393333333333335,4.0,-1.3214116666666667,4.0,-1.3635241666666669,4.0,-3.3471666666666664,4.0,-2.14975,4.0,-0.4784041666666667
5,-1.4963483333333334,5.0,-3.34155,5.0,-2.2733333333333334,5.0,-1.2896358333333333,5.0,-1.3668208333333334,5.0,-3.339358333333333,5.0,-2.303341666666667,5.0,-0.5378216666666668
6,-1.4826674999999998,6.0,-3.3387666666666664,6.0,-2.3731416666666667,6.0,-1.3216391666666667,6.0,-1.3246825,6.0,-3.3341666666666665,6.0,-2.415408333333333,6.0,-0.5782208333333333
7,-1.5038508333333331,7.0,-3.3285083333333336,7.0,-2.429683333333333,7.0,-1.3908250000000002,7.0,-1.290905,7.0,-3.32675,7.0,-2.4800916666666666,7.0,-0.6198916666666666
8,-1.4137716666666666,8.0,-3.3257666666666665,8.0,-2.489425,8.0,-1.3796158333333333,8.0,-1.2462975,8.0,-3.3210083333333333,8.0,-2.5021333333333335,8.0,-0.5788666666666668
9,-1.3919083333333333,9.0,-3.3207166666666663,9.0,-2.5528166666666667,9.0,-1.4069833333333335,9.0,-1.2135866666666666,9.0,-3.3144500000000003,9.0,-2.576166666666667,9.0,-0.7197366666666666
10,-1.4140658333333331,10.0,-3.308408333333333,10.0,-2.5949166666666668,10.0,-1.4359966666666668,10.0,-1.1962875000000002,10.0,-3.3053416666666666,10.0,-2.6244333333333336,10.0,-0.713745
11,-1.3987666666666667,11.0,-3.2934666666666668,11.0,-2.6271916666666666,11.0,-1.4344666666666666,11.0,-1.1382958333333333,11.0,-3.2890083333333333,11.0,-2.67145,11.0,-0.7347800000000001
12,-1.3888383333333334,12.0,-3.2884166666666665,12.0,-2.6687999999999996,12.0,-1.4423166666666667,12.0,-1.0813783333333333,12.0,-3.284758333333333,12.0,-2.693925,12.0,-0.7876408333333335
13,-1.3556666666666668,13.0,-3.2739333333333334,13.0,-2.6937583333333333,13.0,-1.4829999999999999,13.0,-1.0704116666666665,13.0,-3.264925,13.0,-2.7264999999999997,13.0,-0.7851341666666666
14,-1.376245,14.0,-3.2591249999999996,14.0,-2.7150416666666666,14.0,-1.5470666666666666,14.0,-1.0426566666666666,14.0,-3.2565916666666666,14.0,-2.7476249999999998,14.0,-0.9716341666666667
15,-1.3653133333333332,15.0,-3.240975,15.0,-2.735333333333333,15.0,-1.558775,15.0,-0.9896958333333333,15.0,-3.241566666666667,15.0,-2.7632333333333334,15.0,-0.9395191666666666
16,-1.3645675,16.0,-3.2287,16.0,-2.7772166666666664,16.0,-1.6045999999999998,16.0,-0.9675841666666667,16.0,-3.2249916666666665,16.0,-2.8026583333333335,16.0,-1.0455766666666666
17,-1.3889691666666666,17.0,-3.2083166666666667,17.0,-2.8047,17.0,-1.6025,17.0,-0.9675216666666667,17.0,-3.205783333333333,17.0,-2.8398583333333334,17.0,-0.961885
18,-1.3369883333333332,18.0,-3.1944916666666665,18.0,-2.822533333333334,18.0,-1.6627666666666665,18.0,-0.9476666666666667,18.0,-3.193208333333333,18.0,-2.849625,18.0,-1.0609866666666667
19,-1.3314875,19.0,-3.170166666666667,19.0,-2.8418499999999995,19.0,-1.687775,19.0,-0.9414899999999999,19.0,-3.1852750000000003,19.0,-2.8663416666666666,19.0,-1.1687558333333332
20,-1.3160433333333332,20.0,-3.136583333333333,20.0,-2.8588,20.0,-1.7229583333333334,20.0,-0.9236733333333333,20.0,-3.1443666666666665,20.0,-2.8808583333333337,20.0,-1.2122475
21,-1.3412866666666667,21.0,-3.1197,21.0,-2.8760999999999997,21.0,-1.7213916666666667,21.0,-0.902305,21.0,-3.1186583333333338,21.0,-2.8995833333333336,21.0,-1.1731658333333332
22,-1.33036,22.0,-3.093,22.0,-2.8959499999999996,22.0,-1.689525,22.0,-0.8456408333333334,22.0,-3.104158333333333,22.0,-2.9172583333333333,22.0,-1.1337883333333334
23,-1.3370925,23.0,-3.0575166666666664,23.0,-2.9161916666666667,23.0,-1.8169916666666666,23.0,-0.8382633333333334,23.0,-3.0727583333333333,23.0,-2.936075,23.0,-1.353785
24,-1.3413541666666668,24.0,-3.039433333333333,24.0,-2.92325,24.0,-1.7307750000000002,24.0,-0.8163975,24.0,-3.036975,24.0,-2.943225,24.0,-1.2756675
25,-1.2977391666666667,25.0,-3.008275,25.0,-2.9353083333333334,25.0,-1.7930583333333334,25.0,-0.7911025,25.0,-3.0193999999999996,25.0,-2.9551166666666666,25.0,-1.3625999999999998
26,-1.321585,26.0,-2.9888166666666667,26.0,-2.9538083333333334,26.0,-1.8314083333333333,26.0,-0.7802166666666667,26.0,-2.9709333333333334,26.0,-2.9702583333333332,26.0,-1.3699000000000001
27,-1.3099575,27.0,-2.9150000000000005,27.0,-2.965925,27.0,-1.8131583333333332,27.0,-0.7687108333333333,27.0,-2.930533333333333,27.0,-2.9894416666666666,27.0,-1.3670883333333332
28,-1.2949483333333334,28.0,-2.887075,28.0,-2.9714916666666666,28.0,-1.8253416666666666,28.0,-0.7717875,28.0,-2.891525,28.0,-2.991816666666667,28.0,-1.3946658333333335
29,-1.299305,29.0,-2.8423916666666664,29.0,-2.9823583333333334,29.0,-1.87905,29.0,-0.7201725,29.0,-2.8616333333333333,29.0,-3.0,29.0,-1.4588508333333332
30,-1.2859399999999999,30.0,-2.813,30.0,-2.9890749999999997,30.0,-1.9725583333333334,30.0,-0.6946333333333333,30.0,-2.7982416666666663,30.0,-3.0138583333333333,30.0,-1.6316966666666666
31,-1.2700333333333333,31.0,-2.7681416666666667,31.0,-3.0046083333333335,31.0,-1.937375,31.0,-0.7282941666666667,31.0,-2.750175,31.0,-3.0201,31.0,-1.5876824999999999
32,-1.2621308333333332,32.0,-2.6872166666666666,32.0,-3.0114750000000003,32.0,-2.0150416666666664,32.0,-0.6864666666666667,32.0,-2.715241666666667,32.0,-3.0277999999999996,32.0,-1.631945
33,-1.2423166666666667,33.0,-2.6370999999999998,33.0,-3.028075,33.0,-1.8990916666666668,33.0,-0.6847216666666668,33.0,-2.6414500000000003,33.0,-3.0411333333333332,33.0,-1.5926125000000002
34,-1.2727424999999999,34.0,-2.5852166666666667,34.0,-3.0383416666666663,34.0,-1.9529916666666667,34.0,-0.6834341666666667,34.0,-2.5914,34.0,-3.0455583333333336,34.0,-1.6349766666666667
35,-1.2562691666666665,35.0,-2.550125,35.0,-3.0479416666666665,35.0,-1.9673749999999999,35.0,-0.6555966666666667,35.0,-2.538416666666667,35.0,-3.048783333333333,35.0,-1.5996608333333333
36,-1.2433175,36.0,-2.454975,36.0,-3.0533083333333333,36.0,-1.9613666666666667,36.0,-0.659855,36.0,-2.413558333333333,36.0,-3.061208333333333,36.0,-1.702205
37,-1.2236025,37.0,-2.3731833333333334,37.0,-3.0557499999999997,37.0,-1.9406416666666668,37.0,-0.6132658333333333,37.0,-2.382525,37.0,-3.067391666666667,37.0,-1.6912908333333334
38,-1.220875,38.0,-2.293658333333333,38.0,-3.0703833333333335,38.0,-2.0029749999999997,38.0,-0.6243491666666666,38.0,-2.257941666666667,38.0,-3.07765,38.0,-1.6195408333333334
39,-1.2398708333333335,39.0,-2.1896,39.0,-3.070225,39.0,-2.0752416666666664,39.0,-0.6142566666666667,39.0,-2.147466666666667,39.0,-3.0787999999999998,39.0,-1.7811483333333333
40,-1.2652591666666666,40.0,-2.1590166666666666,40.0,-3.085641666666667,40.0,-2.079525,40.0,-0.6299608333333334,40.0,-2.1019416666666664,40.0,-3.097225,40.0,-1.8052483333333333
41,-1.2505158333333333,41.0,-2.103,41.0,-3.0898916666666665,41.0,-2.11565,41.0,-0.638775,41.0,-2.024425,41.0,-3.095658333333333,41.0,-1.8166691666666666
42,-1.2665533333333334,42.0,-1.9643416666666667,42.0,-3.0937916666666667,42.0,-2.0909166666666668,42.0,-0.6156133333333332,42.0,-1.9320000000000002,42.0,-3.1033416666666667,42.0,-1.8315808333333334
43,-1.2644358333333334,43.0,-1.8990916666666668,43.0,-3.102508333333333,43.0,-2.1830083333333334,43.0,-0.6192125,43.0,-1.8117666666666665,43.0,-3.1085,43.0,-1.9361083333333333
44,-1.2518624999999999,44.0,-1.883675,44.0,-3.11055,44.0,-2.1702,44.0,-0.5877708333333334,44.0,-1.7370333333333334,44.0,-3.11535,44.0,-1.8599833333333333
45,-1.2467158333333332,45.0,-1.7732333333333334,45.0,-3.1135,45.0,-2.1060666666666665,45.0,-0.5904349999999999,45.0,-1.645641666666667,45.0,-3.119483333333333,45.0,-1.7891766666666664
46,-1.2659033333333334,46.0,-1.6801583333333332,46.0,-3.119125,46.0,-2.0544166666666666,46.0,-0.5911941666666667,46.0,-1.48862,46.0,-3.1297916666666663,46.0,-1.7814191666666668
47,-1.2575258333333335,47.0,-1.6513583333333333,47.0,-3.1331,47.0,-2.156808333333333,47.0,-0.5616058333333334,47.0,-1.4567575,47.0,-3.1340500000000002,47.0,-1.9189425
48,-1.2448425,48.0,-1.6018999999999999,48.0,-3.1350833333333337,48.0,-2.217175,48.0,-0.553475,48.0,-1.381760833333333,48.0,-3.137316666666667,48.0,-2.0103158333333333
49,-1.254925,49.0,-1.5335833333333333,49.0,-3.1373333333333338,49.0,-2.212775,49.0,-0.5663666666666667,49.0,-1.2895524999999999,49.0,-3.140258333333333,49.0,-2.00255
50,-1.2562225,50.0,-1.4821191666666664,50.0,-3.145958333333333,50.0,-2.1755333333333335,50.0,-0.5584741666666667,50.0,-1.1869891666666665,50.0,-3.1476,50.0,-1.9299916666666668
51,-1.2438675000000001,51.0,-1.4546525,51.0,-3.152875,51.0,-2.28255,51.0,-0.55089,51.0,-1.1529725,51.0,-3.15385,51.0,-2.0740583333333333
52,-1.2300333333333333,52.0,-1.4134375,52.0,-3.153025,52.0,-2.2066583333333334,52.0,-0.5431241666666667,52.0,-1.0953841666666666,52.0,-3.1609833333333337,52.0,-2.045033333333333
53,-1.2348358333333334,53.0,-1.3876099999999998,53.0,-3.1633999999999998,53.0,-2.203866666666667,53.0,-0.5080091666666667,53.0,-1.0404725000000001,53.0,-3.16555,53.0,-2.0119175
54,-1.2286641666666667,54.0,-1.360705,54.0,-3.169283333333333,54.0,-2.1881583333333334,54.0,-0.5141275,54.0,-1.0170233333333334,54.0,-3.1716583333333332,54.0,-1.9825333333333333
55,-1.2396466666666666,55.0,-1.3270716666666666,55.0,-3.171466666666667,55.0,-2.290791666666667,55.0,-0.5073933333333334,55.0,-0.9625583333333334,55.0,-3.172,55.0,-2.103825
56,-1.2315641666666666,56.0,-1.3316975,56.0,-3.1757916666666666,56.0,-2.243775,56.0,-0.512075,56.0,-0.9380016666666666,56.0,-3.17705,56.0,-2.0604583333333335
57,-1.224145,57.0,-1.2954649999999999,57.0,-3.1799250000000003,57.0,-2.2228333333333334,57.0,-0.4896825,57.0,-0.8738308333333333,57.0,-3.179491666666667,57.0,-2.0199666666666665
