Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-2.318,1,-3.593,1,-1.338,1,-1.22,1,-2.997,1,-3.792,1,-1.969,1,-0.206
2,-2.253,2,-3.571,2,-1.503,2,-1.232,2,-2.752,2,-3.787,2,-2.384,2,-0.334
3,-2.196,3,-3.587,3,-1.672,3,-1.351,3,-2.775,3,-3.79,3,-2.635,3,-0.728
4,-2.038,4,-3.585,4,-1.715,4,-1.42,4,-2.786,4,-3.796,4,-2.754,4,-0.84
5,-1.988,5,-3.576,5,-1.844,5,-1.264,5,-2.821,5,-3.795,5,-2.911,5,-0.394
6,-1.908,6,-3.562,6,-2.015,6,-1.422,6,-2.72,6,-3.792,6,-3.025,6,-0.798
7,-1.817,7,-3.557,7,-2.207,7,-1.248,7,-2.605,7,-3.794,7,-3.124,7,-0.455
8,-1.729,8,-3.574,8,-2.29,8,-1.269,8,-2.473,8,-3.803,8,-3.169,8,-0.513
9,-1.632,9,-3.568,9,-2.407,9,-1.281,9,-2.339,9,-3.802,9,-3.264,9,-0.488
10,-1.583,10,-3.562,10,-2.505,10,-1.367,10,-2.256,10,-3.806,10,-3.311,10,-0.694
11,-1.521,11,-3.555,11,-2.611,11,-1.431,11,-2.129,11,-3.806,11,-3.348,11,-1.042
12,-1.461,12,-3.553,12,-2.708,12,-1.615,12,-1.977,12,-3.802,12,-3.391,12,-1.342
13,-1.418,13,-3.524,13,-2.742,13,-1.473,13,-1.861,13,-3.802,13,-3.418,13,-1.225
14,-1.355,14,-3.531,14,-2.822,14,-1.556,14,-1.772,14,-3.801,14,-3.431,14,-1.362
15,-1.331,15,-3.512,15,-2.917,15,-1.767,15,-1.654,15,-3.797,15,-3.468,15,-1.733
16,-1.337,16,-3.505,16,-2.941,16,-2.184,16,-1.509,16,-3.801,16,-3.478,16,-2.239
17,-1.304,17,-3.457,17,-2.984,17,-1.573,17,-1.503,17,-3.788,17,-3.519,17,-1.087
18,-1.275,18,-3.417,18,-3.068,18,-1.938,18,-1.349,18,-3.779,18,-3.533,18,-1.926
