Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score
1,-1.3173,1,-3.3625,1,-1.5961,1,-1.4275,1,-1.1364,1,-3.3611,1,-1.3884,1,-0.4626
2,-1.4792,2,-3.3614,2,-1.6467,2,-1.373,2,-1.1724,2,-3.3595,2,-1.8795,2,-0.45039
3,-1.5241,3,-3.3634,3,-1.801,3,-1.4167,3,-1.2874,3,-3.3617,3,-2.0084,3,-0.60802
4,-1.4258,4,-3.3671,4,-1.9391,4,-1.3728,4,-1.3142,4,-3.3591,4,-2.0764,4,-0.52013
5,-1.5856,5,-3.3588,5,-2.1349,5,-1.3828,5,-1.3174,5,-3.3577,5,-2.198,5,-0.92929
6,-1.525,6,-3.3527,6,-2.2,6,-1.4277,6,-1.2658,6,-3.3431,6,-2.2617,6,-0.67574
7,-1.6539,7,-3.3422,7,-2.2815,7,-1.5598,7,-1.2243,7,-3.3413,7,-2.371,7,-0.8215
8,-1.5593,8,-3.3293,8,-2.2318,8,-1.4205,8,-1.0994,8,-3.3301,8,-2.312,8,-0.96417
9,-1.2717,9,-3.3402,9,-2.2717,9,-1.6336,9,-1.1944,9,-3.3307,9,-2.4407,9,-1.0436
10,-1.3401,10,-3.3324,10,-2.3821,10,-1.4824,10,-1.1528,10,-3.3163,10,-2.5017,10,-0.79316
11,-1.4729,11,-3.3002,11,-2.3911,11,-1.5575,11,-1.0581,11,-3.2991,11,-2.5684,11,-0.88053
12,-1.475,12,-3.3015,12,-2.466,12,-1.6777,12,-1.1141,12,-3.2945,12,-2.6126,12,-1.1443
13,-1.4295,13,-3.2887,13,-2.4916,13,-1.5059,13,-1.1517,13,-3.2828,13,-2.6027,13,-1.0731
14,-1.5016,14,-3.2929,14,-2.5095,14,-1.6335,14,-0.98317,14,-3.2768,14,-2.6193,14,-0.98726
15,-1.4061,15,-3.2763,15,-2.5337,15,-1.8224,15,-0.97662,15,-3.2737,15,-2.5792,15,-1.188
16,-1.5365,16,-3.2598,16,-2.5389,16,-1.4421,16,-0.97047,16,-3.2499,16,-2.6842,16,-0.88852
17,-1.3761,17,-3.2583,17,-2.5966,17,-1.7389,17,-1.0061,17,-3.2498,17,-2.727,17,-1.3043
18,-1.3574,18,-3.2385,18,-2.6223,18,-1.7109,18,-0.97314,18,-3.2247,18,-2.7065,18,-0.91898
19,-1.4191,19,-3.2077,19,-2.657,19,-1.5979,19,-0.9932,19,-3.1921,19,-2.7515,19,-1.123
20,-1.3299,20,-3.1872,20,-2.6824,20,-1.7277,20,-0.99575,20,-3.1773,20,-2.7669,20,-1.205
21,-1.4753,21,-3.1668,21,-2.6828,21,-1.6262,21,-1.015,21,-3.161,21,-2.7594,21,-1.0028
22,-1.3913,22,-3.1551,22,-2.7278,22,-1.7812,22,-0.92102,22,-3.1644,22,-2.8085,22,-1.1403
23,-1.4481,23,-3.1224,23,-2.7376,23,-1.9208,23,-0.86107,23,-3.1207,23,-2.8233,23,-1.1231
24,-1.4519,24,-3.1596,24,-2.7938,24,-1.684,24,-0.83246,24,-3.1422,24,-2.8146,24,-1.2656
25,-1.4859,25,-3.1061,25,-2.8093,25,-1.7685,25,-0.83604,25,-3.114,25,-2.8507,25,-1.4764
26,-1.5259,26,-3.0379,26,-2.8317,26,-1.8337,26,-0.77128,26,-3.0576,26,-2.8573,26,-1.3213
27,-1.4181,27,-2.9777,27,-2.8399,27,-1.7606,27,-0.83065,27,-3.0252,27,-2.901,27,-1.206
28,-1.4752,28,-3.0425,28,-2.8483,28,-1.763,28,-0.89553,28,-3.0579,28,-2.8777,28,-1.2763
29,-1.4846,29,-2.8971,29,-2.8814,29,-2.0058,29,-0.86352,29,-2.9343,29,-2.9257,29,-1.54
30,-1.445,30,-2.8752,30,-2.9019,30,-1.6439,30,-0.8003,30,-2.8019,30,-2.9288,30,-1.2586
31,-1.4148,31,-2.7759,31,-2.9153,31,-1.8412,31,-0.88088,31,-2.8058,31,-2.9284,31,-1.4637
32,-1.3294,32,-2.5336,32,-2.9146,32,-1.9795,32,-0.71531,32,-2.6128,32,-2.9501,32,-1.8199
33,-1.3308,33,-2.5602,33,-2.9601,33,-1.9152,33,-0.70725,33,-2.5525,33,-2.9852,33,-1.5043
34,-1.4696,34,-2.4277,34,-2.9681,34,-1.7969,34,-0.77337,34,-2.4704,34,-2.9673,34,-1.6869
35,-1.3686,35,-2.3801,35,-2.9748,35,-1.9143,35,-0.77683,35,-2.4321,35,-2.9625,35,-1.7108
36,-1.3506,36,-2.2437,36,-2.9884,36,-1.7661,36,-0.78377,36,-2.2875,36,-3.0044,36,-1.5977
37,-1.3301,37,-1.9632,37,-2.9933,37,-1.749,37,-0.75056,37,-2.1839,37,-3.009,37,-1.5768
38,-1.3012,38,-1.8721,38,-3.011,38,-2.1469,38,-0.68001,38,-1.9631,38,-3.0296,38,-1.5712
39,-1.3938,39,-1.8893,39,-2.9999,39,-2.0976,39,-0.81828,39,-1.7257,39,-3.0223,39,-1.9095
40,-1.3949,40,-1.9086,40,-3.0382,40,-2.1091,40,-0.69819,40,-1.908,40,-3.067,40,-1.8822
41,-1.4501,41,-1.7169,41,-3.0437,41,-2.0121,41,-0.75794,41,-1.7378,41,-3.0444,41,-1.8473
42,-1.4116,42,-1.5269,42,-3.0495,42,-1.918,42,-0.73306,42,-1.638,42,-3.0705,42,-1.9167
43,-1.4525,43,-1.4691,43,-3.0639,43,-1.9986,43,-0.81043,43,-1.5385,43,-3.0817,43,-1.9067
44,-1.3913,44,-1.612,44,-3.0601,44,-2.0275,44,-0.72643,44,-1.6743,44,-3.0866,44,-1.7565
45,-1.4008,45,-1.362,45,-3.0662,45,-1.9401,45,-0.65824,45,-1.5127,45,-3.0951,45,-1.8554
46,-1.3919,46,-1.414,46,-3.0785,46,-1.7839,46,-0.62634,46,-1.3016,46,-3.09,46,-1.7781
47,-1.416,47,-1.5306,47,-3.0855,47,-1.9921,47,-0.62158,47,-1.3958,47,-3.1057,47,-1.863
48,-1.3497,48,-1.488,48,-3.0984,48,-2.2066,48,-0.6221,48,-1.344,48,-3.1034,48,-2.0649
49,-1.3665,49,-1.3565,49,-3.0941,49,-1.9125,49,-0.69021,49,-1.0557,49,-3.1075,49,-1.5875
50,-1.3139,50,-1.3879,50,-3.1126,50,-2.1447,50,-0.74655,50,-1.011,50,-3.1322,50,-1.8758
51,-1.437,51,-1.3673,51,-3.1197,51,-2.03,51,-0.70722,51,-1.2949,51,-3.1353,51,-1.726
52,-1.3687,52,-1.2309,52,-3.1233,52,-2.0686,52,-0.62468,52,-1.0565,52,-3.1415,52,-1.9727
53,-1.34,53,-1.4757,53,-3.1462,53,-2.1007,53,-0.4657,53,-1.0665,53,-3.1504,53,-2.0755
54,-1.3401,54,-1.4342,54,-3.1481,54,-1.895,54,-0.56992,54,-1.0166,54,-3.145,54,-1.6832
55,-1.3725,55,-1.2984,55,-3.1481,55,-2.3079,55,-0.57202,55,-1.0935,55,-3.1616,55,-2.1093
56,-1.3712,56,-1.3655,56,-3.1452,56,-2.1327,56,-0.65872,56,-1.0844,56,-3.1554,56,-2.0849
57,-1.3156,57,-1.3441,57,-3.1561,57,-1.9526,57,-0.5444,57,-0.91045,57,-3.1605,57,-1.8487
58,-1.3568,58,-1.3995,58,-3.157,58,-2.1459,58,-0.47635,58,-0.96533,58,-3.1644,58,-2.1584
59,-1.3282,59,-1.4294,59,-3.1703,59,-2.1203,59,-0.5447,59,-1.0836,59,-3.1748,59,-1.8671
60,-1.3175,60,-1.3439,60,-3.168,60,-2.3205,60,-0.51345,60,-1.0024,60,-3.1748,60,-2.3195
61,-1.3122,61,-1.3365,61,-3.1825,61,-2.2948,61,-0.51924,61,-0.95344,61,-3.1795,61,-2.2466
62,-1.3258,62,-1.4244,62,-3.1857,62,-2.1454,62,-0.53523,62,-0.829,62,-3.1916,62,-1.9484
63,-1.3675,63,-1.5064,63,-3.1895,63,-2.0429,63,-0.49314,63,-0.80356,63,-3.1972,63,-1.9843
64,-1.337,64,-1.4393,64,-3.2124,64,-2.1925,64,-0.55615,64,-0.76875,64,-3.2107,64,-2.042
65,-1.3561,65,-1.5184,65,-3.2111,65,-2.2779,65,-0.47427,65,-1.0076,65,-3.2042,65,-2.2202
66,-1.3777,66,-1.5292,66,-3.216,66,-2.4241,66,-0.51731,66,-0.69338,66,-3.2054,66,-2.4239
67,-1.3726,67,-1.4671,67,-3.2181,67,-2.2117,67,-0.48307,67,-0.74809,67,-3.2159,67,-2.3565
68,-1.3635,68,-1.5614,68,-3.221,68,-2.1764,68,-0.49722,68,-0.78966,68,-3.2135,68,-2.2277
69,-1.3943,69,-1.4983,69,-3.2261,69,-2.1741,69,-0.49554,69,-0.61772,69,-3.2179,69,-2.1606
70,-1.4039,70,-1.5471,70,-3.2049,70,-2.4084,70,-0.43052,70,-0.68399,70,-3.2106,70,-2.4093
