Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-0.81,1,-3.01,1,-0.59,1,-0.6,1,-0.52,1,-3.14,1,-0.34,1,-0.28
2,-0.8,2,-3.02,2,-0.59,2,-0.6,2,-0.48,2,-3.16,2,-0.36,2,-0.28
3,-0.77,3,-2.93,3,-0.6,3,-0.6,3,-0.47,3,-3.08,3,-0.38,3,-0.3
4,-0.75,4,-2.85,4,-0.6,4,-0.6,4,-0.46,4,-3.01,4,-0.39,4,-0.29
5,-0.73,5,-2.88,5,-0.62,5,-0.61,5,-0.45,5,-3.02,5,-0.41,5,-0.31
6,-0.7,6,-2.77,6,-0.62,6,-0.61,6,-0.43,6,-2.91,6,-0.42,6,-0.32
7,-0.69,7,-2.76,7,-0.63,7,-0.63,7,-0.42,7,-2.91,7,-0.42,7,-0.32
8,-0.67,8,-2.71,8,-0.62,8,-0.6,8,-0.41,8,-2.88,8,-0.43,8,-0.29
9,-0.66,9,-2.64,9,-0.64,9,-0.6,9,-0.39,9,-2.82,9,-0.45,9,-0.31
10,-0.65,10,-2.6,10,-0.64,10,-0.62,10,-0.37,10,-2.74,10,-0.46,10,-0.31
11,-0.64,11,-2.43,11,-0.64,11,-0.61,11,-0.37,11,-2.61,11,-0.46,11,-0.33
12,-0.63,12,-2.36,12,-0.65,12,-0.64,12,-0.36,12,-2.55,12,-0.48,12,-0.37
13,-0.63,13,-2.27,13,-0.65,13,-0.62,13,-0.35,13,-2.45,13,-0.48,13,-0.33
14,-0.62,14,-2.06,14,-0.68,14,-0.64,14,-0.35,14,-2.24,14,-0.5,14,-0.35
15,-0.62,15,-2.11,15,-0.69,15,-0.62,15,-0.34,15,-2.28,15,-0.52,15,-0.32
16,-0.62,16,-1.93,16,-0.68,16,-0.61,16,-0.34,16,-2.13,16,-0.52,16,-0.32
17,-0.62,17,-1.83,17,-0.68,17,-0.63,17,-0.34,17,-2.03,17,-0.52,17,-0.38
18,-0.61,18,-1.72,18,-0.7,18,-0.61,18,-0.33,18,-1.9,18,-0.53,18,-0.31
19,-0.61,19,-1.63,19,-0.68,19,-0.62,19,-0.33,19,-1.8,19,-0.54,19,-0.34
20,-0.61,20,-1.5,20,-0.71,20,-0.63,20,-0.33,20,-1.68,20,-0.55,20,-0.36
21,-0.61,21,-1.4,21,-0.73,21,-0.63,21,-0.33,21,-1.55,21,-0.56,21,-0.35
22,-0.61,22,-1.3,22,-0.74,22,-0.62,22,-0.31,22,-1.45,22,-0.58,22,-0.34
