HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,0.61,1,0.24,1,0.8,1,0.84,1,0.61,1,0.24,1,0.81,1,0.97
2,0.62,2,0.25,2,0.77,2,0.84,2,0.61,2,0.25,2,0.76,2,0.96
3,0.63,3,0.26,3,0.74,3,0.84,3,0.61,3,0.26,3,0.73,3,0.96
4,0.63,4,0.28,4,0.72,4,0.83,4,0.61,4,0.28,4,0.69,4,0.95
5,0.65,5,0.29,5,0.69,5,0.83,5,0.63,5,0.29,5,0.67,5,0.94
6,0.65,6,0.3,6,0.67,6,0.83,6,0.64,6,0.31,6,0.65,6,0.94
7,0.67,7,0.33,7,0.66,7,0.83,7,0.66,7,0.32,7,0.63,7,0.93
8,0.69,8,0.34,8,0.64,8,0.83,8,0.68,8,0.34,8,0.61,8,0.95
9,0.69,9,0.36,9,0.62,9,0.83,9,0.7,9,0.36,9,0.59,9,0.93
10,0.71,10,0.38,10,0.6,10,0.83,10,0.73,10,0.37,10,0.58,10,0.93
11,0.73,11,0.4,11,0.58,11,0.83,11,0.75,11,0.39,11,0.56,11,0.93
12,0.74,12,0.43,12,0.56,12,0.83,12,0.77,12,0.42,12,0.55,12,0.94
13,0.76,13,0.44,13,0.55,13,0.83,13,0.79,13,0.43,13,0.54,13,0.93
14,0.77,14,0.46,14,0.54,14,0.82,14,0.8,14,0.45,14,0.53,14,0.92
15,0.77,15,0.5,15,0.52,15,0.82,15,0.81,15,0.49,15,0.52,15,0.91
16,0.78,16,0.52,16,0.51,16,0.82,16,0.82,16,0.5,16,0.5,16,0.93
17,0.79,17,0.55,17,0.5,17,0.82,17,0.83,17,0.53,17,0.49,17,0.9
18,0.8,18,0.57,18,0.49,18,0.82,18,0.84,18,0.55,18,0.47,18,0.91
19,0.8,19,0.6,19,0.48,19,0.82,19,0.85,19,0.58,19,0.46,19,0.91
20,0.81,20,0.63,20,0.47,20,0.82,20,0.86,20,0.61,20,0.45,20,0.91
21,0.82,21,0.65,21,0.46,21,0.82,21,0.87,21,0.62,21,0.45,21,0.92
22,0.82,22,0.67,22,0.45,22,0.81,22,0.88,22,0.64,22,0.44,22,0.88
23,0.82,23,0.69,23,0.44,23,0.81,23,0.89,23,0.65,23,0.43,23,0.87
24,0.83,24,0.72,24,0.43,24,0.8,24,0.89,24,0.68,24,0.42,24,0.86
25,0.82,25,0.74,25,0.43,25,0.8,25,0.89,25,0.7,25,0.42,25,0.86
26,0.83,26,0.75,26,0.42,26,0.81,26,0.9,26,0.71,26,0.41,26,0.89
27,0.83,27,0.76,27,0.41,27,0.8,27,0.9,27,0.73,27,0.4,27,0.86
28,0.83,28,0.78,28,0.41,28,0.81,28,0.91,28,0.74,28,0.4,28,0.88
29,0.83,29,0.79,29,0.4,29,0.78,29,0.91,29,0.76,29,0.39,29,0.83
30,0.83,30,0.8,30,0.39,30,0.81,30,0.92,30,0.77,30,0.38,30,0.9
31,0.83,31,0.81,31,0.39,31,0.8,31,0.91,31,0.78,31,0.38,31,0.87
32,0.83,32,0.81,32,0.38,32,0.79,32,0.92,32,0.79,32,0.37,32,0.85
33,0.83,33,0.82,33,0.37,33,0.78,33,0.92,33,0.8,33,0.37,33,0.82
34,0.83,34,0.83,34,0.37,34,0.81,34,0.92,34,0.8,34,0.37,34,0.88
35,0.84,35,0.84,35,0.36,35,0.8,35,0.93,35,0.81,35,0.36,35,0.87
36,0.84,36,0.84,36,0.36,36,0.81,36,0.92,36,0.82,36,0.36,36,0.88
37,0.84,37,0.84,37,0.35,37,0.8,37,0.93,37,0.82,37,0.35,37,0.85
38,0.84,38,0.84,38,0.34,38,0.81,38,0.93,38,0.83,38,0.35,38,0.86
39,0.84,39,0.85,39,0.34,39,0.79,39,0.93,39,0.83,39,0.34,39,0.85
40,0.84,40,0.84,40,0.34,40,0.8,40,0.93,40,0.83,40,0.34,40,0.85
41,0.84,41,0.85,41,0.33,41,0.78,41,0.93,41,0.84,41,0.33,41,0.84
42,0.84,42,0.84,42,0.33,42,0.81,42,0.93,42,0.84,42,0.33,42,0.87
43,0.84,43,0.84,43,0.33,43,0.8,43,0.93,43,0.84,43,0.32,43,0.85
44,0.84,44,0.84,44,0.32,44,0.8,44,0.94,44,0.85,44,0.32,44,0.85
45,0.84,45,0.84,45,0.32,45,0.77,45,0.93,45,0.85,45,0.32,45,0.81
46,0.84,46,0.84,46,0.31,46,0.78,46,0.94,46,0.85,46,0.31,46,0.83
47,0.84,47,0.84,47,0.31,47,0.76,47,0.94,47,0.85,47,0.31,47,0.8
48,0.84,48,0.84,48,0.3,48,0.79,48,0.94,48,0.86,48,0.31,48,0.84
49,0.84,49,0.84,49,0.3,49,0.79,49,0.94,49,0.87,49,0.3,49,0.82
50,0.84,50,0.84,50,0.3,50,0.79,50,0.95,50,0.87,50,0.3,50,0.84
51,0.84,51,0.84,51,0.3,51,0.79,51,0.95,51,0.88,51,0.3,51,0.83
52,0.83,52,0.84,52,0.3,52,0.76,52,0.94,52,0.88,52,0.3,52,0.81
53,0.84,53,0.84,53,0.29,53,0.77,53,0.94,53,0.88,53,0.29,53,0.81
54,0.84,54,0.84,54,0.29,54,0.78,54,0.95,54,0.88,54,0.29,54,0.83
55,0.84,55,0.84,55,0.29,55,0.76,55,0.94,55,0.89,55,0.29,55,0.8
56,0.84,56,0.84,56,0.28,56,0.78,56,0.95,56,0.89,56,0.28,56,0.82
57,0.84,57,0.84,57,0.28,57,0.78,57,0.95,57,0.9,57,0.28,57,0.82
58,0.84,58,0.84,58,0.28,58,0.77,58,0.95,58,0.9,58,0.28,58,0.8
59,0.84,59,0.84,59,0.28,59,0.77,59,0.95,59,0.9,59,0.28,59,0.82
60,0.84,60,0.84,60,0.27,60,0.78,60,0.95,60,0.91,60,0.27,60,0.82
61,0.84,61,0.84,61,0.27,61,0.77,61,0.95,61,0.9,61,0.27,61,0.8
62,0.84,62,0.84,62,0.27,62,0.77,62,0.96,62,0.91,62,0.27,62,0.81
63,0.84,63,0.84,63,0.27,63,0.76,63,0.95,63,0.92,63,0.27,63,0.79
64,0.84,64,0.84,64,0.26,64,0.77,64,0.95,64,0.92,64,0.27,64,0.8
65,0.84,65,0.84,65,0.26,65,0.77,65,0.96,65,0.93,65,0.27,65,0.8
66,0.84,66,0.84,66,0.26,66,0.76,66,0.96,66,0.92,66,0.26,66,0.79
67,0.84,67,0.84,67,0.26,67,0.75,67,0.97,67,0.93,67,0.26,67,0.78
68,0.83,68,0.84,68,0.26,68,0.76,68,0.96,68,0.92,68,0.26,68,0.78
69,0.84,69,0.84,69,0.26,69,0.75,69,0.96,69,0.93,69,0.26,69,0.79
70,0.84,70,0.84,70,0.25,70,0.75,70,0.97,70,0.93,70,0.26,70,0.78
71,0.83,71,0.84,71,0.25,71,0.77,71,0.96,71,0.94,71,0.25,71,0.81
72,0.83,72,0.83,72,0.25,72,0.77,72,0.96,72,0.94,72,0.25,72,0.79
73,0.84,73,0.83,73,0.25,73,0.77,73,0.96,73,0.94,73,0.25,73,0.79
74,0.84,74,0.84,74,0.25,74,0.77,74,0.96,74,0.94,74,0.25,74,0.79
75,0.84,75,0.84,75,0.25,75,0.74,75,0.96,75,0.95,75,0.25,75,0.77
76,0.84,76,0.84,76,0.25,76,0.78,76,0.97,76,0.95,76,0.25,76,0.82
77,0.83,77,0.84,77,0.24,77,0.77,77,0.96,77,0.95,77,0.25,77,0.81
78,0.84,78,0.84,78,0.24,78,0.76,78,0.96,78,0.95,78,0.25,78,0.79
79,0.84,79,0.83,79,0.24,79,0.77,79,0.96,79,0.95,79,0.24,79,0.79
80,0.84,80,0.83,80,0.24,80,0.72,80,0.97,80,0.96,80,0.24,80,0.75
81,0.84,81,0.83,81,0.24,81,0.75,81,0.96,81,0.95,81,0.24,81,0.77
82,0.84,82,0.84,82,0.23,82,0.75,82,0.96,82,0.96,82,0.24,82,0.77
83,0.83,83,0.84,83,0.23,83,0.75,83,0.97,83,0.96,83,0.24,83,0.76
84,0.84,84,0.83,84,0.23,84,0.75,84,0.97,84,0.96,84,0.24,84,0.78
85,0.84,85,0.84,85,0.23,85,0.73,85,0.97,85,0.96,85,0.23,85,0.76
86,0.84,86,0.83,86,0.23,86,0.75,86,0.97,86,0.96,86,0.23,86,0.76
87,0.84,87,0.84,87,0.23,87,0.76,87,0.96,87,0.96,87,0.23,87,0.78
88,0.84,88,0.83,88,0.23,88,0.76,88,0.97,88,0.96,88,0.23,88,0.79
89,0.84,89,0.84,89,0.23,89,0.74,89,0.97,89,0.96,89,0.23,89,0.76
90,0.83,90,0.84,90,0.22,90,0.74,90,0.96,90,0.97,90,0.23,90,0.76
