Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-3.27,1,-3.869,1,-1.478,1,-1.226,1,-3.519,1,-3.879,1,-2.144,1,-0.384
2,-3.254,2,-3.86,2,-1.692,2,-1.182,2,-3.562,2,-3.873,2,-2.594,2,-0.4
3,-3.218,3,-3.856,3,-1.877,3,-1.207,3,-3.565,3,-3.871,3,-2.789,3,-0.412
4,-3.175,4,-3.852,4,-1.988,4,-1.233,4,-3.56,4,-3.871,4,-2.951,4,-0.577
5,-3.111,5,-3.843,5,-2.103,5,-1.271,5,-3.526,5,-3.868,5,-3.039,5,-0.555
6,-3.084,6,-3.839,6,-2.205,6,-1.552,6,-3.511,6,-3.868,6,-3.143,6,-1.209
7,-3.038,7,-3.839,7,-2.393,7,-1.448,7,-3.458,7,-3.867,7,-3.194,7,-0.942
8,-2.916,8,-3.832,8,-2.479,8,-1.246,8,-3.391,8,-3.862,8,-3.239,8,-0.585
9,-2.868,9,-3.816,9,-2.539,9,-1.386,9,-3.316,9,-3.859,9,-3.28,9,-0.927
10,-2.727,10,-3.817,10,-2.585,10,-1.639,10,-3.182,10,-3.86,10,-3.337,10,-1.408
11,-2.602,11,-3.81,11,-2.732,11,-1.261,11,-3.049,11,-3.857,11,-3.375,11,-0.628
12,-2.526,12,-3.79,12,-2.763,12,-1.422,12,-2.885,12,-3.851,12,-3.396,12,-1.053
13,-2.366,13,-3.787,13,-2.808,13,-1.569,13,-2.845,13,-3.852,13,-3.426,13,-1.419
14,-2.235,14,-3.766,14,-2.859,14,-1.488,14,-2.713,14,-3.843,14,-3.459,14,-1.206
15,-2.111,15,-3.759,15,-2.916,15,-1.283,15,-2.62,15,-3.843,15,-3.479,15,-0.812
16,-2.022,16,-3.744,16,-3.031,16,-1.331,16,-2.475,16,-3.837,16,-3.525,16,-1.035
17,-1.912,17,-3.719,17,-3.109,17,-1.447,17,-2.321,17,-3.83,17,-3.543,17,-1.193
18,-1.834,18,-3.701,18,-3.176,18,-2.316,18,-2.164,18,-3.825,18,-3.567,18,-2.231
19,-1.718,19,-3.652,19,-3.148,19,-1.85,19,-1.968,19,-3.81,19,-3.568,19,-1.658
20,-1.629,20,-3.64,20,-3.16,20,-1.638,20,-1.864,20,-3.805,20,-3.589,20,-1.524
21,-1.581,21,-3.594,21,-3.213,21,-1.88,21,-1.7,21,-3.793,21,-3.6,21,-2.011
22,-1.524,22,-3.551,22,-3.273,22,-1.838,22,-1.57,22,-3.774,22,-3.616,22,-1.776
23,-1.462,23,-3.485,23,-3.3,23,-1.841,23,-1.353,23,-3.757,23,-3.636,23,-1.697
24,-1.399,24,-3.438,24,-3.369,24,-2.076,24,-1.286,24,-3.743,24,-3.654,24,-2.341
25,-1.351,25,-3.399,25,-3.4,25,-1.534,25,-1.243,25,-3.726,25,-3.658,25,-1.328
26,-1.36,26,-3.305,26,-3.424,26,-2.0,26,-1.148,26,-3.705,26,-3.672,26,-2.114
27,-1.309,27,-3.198,27,-3.443,27,-1.896,27,-1.117,27,-3.669,27,-3.672,27,-1.893
28,-1.259,28,-3.133,28,-3.493,28,-2.386,28,-0.995,28,-3.651,28,-3.69,28,-2.459
29,-1.222,29,-3.014,29,-3.489,29,-1.958,29,-0.993,29,-3.62,29,-3.696,29,-2.105
30,-1.235,30,-2.913,30,-3.53,30,-1.876,30,-0.836,30,-3.567,30,-3.712,30,-1.918
31,-1.229,31,-2.814,31,-3.57,31,-1.888,31,-0.922,31,-3.53,31,-3.731,31,-1.838
32,-1.227,32,-2.741,32,-3.557,32,-2.222,32,-0.799,32,-3.495,32,-3.724,32,-2.477
33,-1.208,33,-2.611,33,-3.586,33,-2.559,33,-0.788,33,-3.445,33,-3.725,33,-2.945
34,-1.186,34,-2.524,34,-3.601,34,-2.039,34,-0.788,34,-3.415,34,-3.742,34,-2.256
35,-1.194,35,-2.331,35,-3.601,35,-2.375,35,-0.709,35,-3.288,35,-3.743,35,-2.616
36,-1.201,36,-2.152,36,-3.634,36,-2.693,36,-0.759,36,-3.205,36,-3.752,36,-2.935
37,-1.176,37,-2.127,37,-3.621,37,-1.965,37,-0.707,37,-3.173,37,-3.747,37,-2.187
38,-1.177,38,-1.926,38,-3.628,38,-1.957,38,-0.693,38,-3.036,38,-3.753,38,-2.379
39,-1.195,39,-1.893,39,-3.637,39,-2.096,39,-0.677,39,-3.007,39,-3.753,39,-2.361
40,-1.194,40,-1.783,40,-3.641,40,-1.928,40,-0.688,40,-2.876,40,-3.757,40,-2.294
41,-1.18,41,-1.67,41,-3.637,41,-1.905,41,-0.603,41,-2.785,41,-3.758,41,-2.3
42,-1.202,42,-1.605,42,-3.665,42,-1.812,42,-0.591,42,-2.627,42,-3.765,42,-2.063
43,-1.181,43,-1.526,43,-3.656,43,-2.092,43,-0.519,43,-2.546,43,-3.761,43,-2.522
44,-1.172,44,-1.432,44,-3.677,44,-2.309,44,-0.544,44,-2.396,44,-3.775,44,-2.436
45,-1.181,45,-1.396,45,-3.682,45,-1.864,45,-0.563,45,-2.351,45,-3.772,45,-2.203
46,-1.194,46,-1.306,46,-3.703,46,-1.989,46,-0.52,46,-2.143,46,-3.78,46,-2.421
47,-1.186,47,-1.325,47,-3.696,47,-2.183,47,-0.498,47,-2.04,47,-3.78,47,-2.798
48,-1.191,48,-1.29,48,-3.695,48,-2.15,48,-0.472,48,-1.979,48,-3.777,48,-2.676
49,-1.176,49,-1.242,49,-3.69,49,-1.966,49,-0.533,49,-1.856,49,-3.776,49,-2.383
50,-1.182,50,-1.252,50,-3.711,50,-2.562,50,-0.467,50,-1.824,50,-3.786,50,-3.029
51,-1.171,51,-1.232,51,-3.7,51,-2.43,51,-0.409,51,-1.658,51,-3.783,51,-2.855
52,-1.173,52,-1.21,52,-3.713,52,-2.321,52,-0.437,52,-1.487,52,-3.788,52,-2.711
53,-1.174,53,-1.201,53,-3.714,53,-2.631,53,-0.448,53,-1.562,53,-3.79,53,-2.944
54,-1.159,54,-1.224,54,-3.734,54,-2.241,54,-0.434,54,-1.479,54,-3.802,54,-2.724
55,-1.179,55,-1.22,55,-3.73,55,-2.452,55,-0.478,55,-1.451,55,-3.797,55,-2.93
56,-1.167,56,-1.189,56,-3.736,56,-2.282,56,-0.399,56,-1.357,56,-3.796,56,-2.719
57,-1.17,57,-1.172,57,-3.741,57,-2.6,57,-0.416,57,-1.179,57,-3.801,57,-3.018
58,-1.172,58,-1.201,58,-3.735,58,-2.319,58,-0.375,58,-1.228,58,-3.798,58,-2.891
59,-1.169,59,-1.175,59,-3.74,59,-2.732,59,-0.403,59,-1.242,59,-3.802,59,-3.218
60,-1.19,60,-1.21,60,-3.745,60,-2.58,60,-0.389,60,-1.141,60,-3.803,60,-2.948
61,-1.183,61,-1.2,61,-3.741,61,-2.518,61,-0.388,61,-1.036,61,-3.801,61,-2.97
62,-1.166,62,-1.215,62,-3.741,62,-2.767,62,-0.389,62,-0.983,62,-3.805,62,-3.163
63,-1.169,63,-1.163,63,-3.729,63,-2.298,63,-0.379,63,-0.935,63,-3.8,63,-2.935
64,-1.181,64,-1.179,64,-3.753,64,-2.551,64,-0.446,64,-0.853,64,-3.808,64,-3.003
65,-1.18,65,-1.179,65,-3.75,65,-2.244,65,-0.329,65,-0.87,65,-3.811,65,-2.683
66,-1.183,66,-1.183,66,-3.764,66,-2.733,66,-0.334,66,-0.742,66,-3.816,66,-3.12
67,-1.198,67,-1.169,67,-3.733,67,-2.519,67,-0.259,67,-0.764,67,-3.804,67,-3.075
68,-1.178,68,-1.186,68,-3.738,68,-2.483,68,-0.289,68,-0.678,68,-3.805,68,-3.056
69,-1.186,69,-1.199,69,-3.753,69,-2.708,69,-0.307,69,-0.646,69,-3.804,69,-3.204
70,-1.187,70,-1.211,70,-3.741,70,-2.92,70,-0.259,70,-0.567,70,-3.803,70,-3.339
71,-1.167,71,-1.178,71,-3.771,71,-2.699,71,-0.311,71,-0.658,71,-3.818,71,-3.118
72,-1.188,72,-1.196,72,-3.769,72,-2.174,72,-0.319,72,-0.684,72,-3.817,72,-2.656
73,-1.187,73,-1.172,73,-3.788,73,-2.691,73,-0.299,73,-0.639,73,-3.822,73,-3.206
74,-1.18,74,-1.213,74,-3.783,74,-2.335,74,-0.259,74,-0.605,74,-3.822,74,-2.948
75,-1.155,75,-1.182,75,-3.766,75,-2.666,75,-0.232,75,-0.524,75,-3.814,75,-3.297
76,-1.166,76,-1.192,76,-3.774,76,-2.634,76,-0.243,76,-0.457,76,-3.817,76,-3.099
77,-1.16,77,-1.212,77,-3.77,77,-2.325,77,-0.271,77,-0.473,77,-3.818,77,-2.966
78,-1.18,78,-1.189,78,-3.777,78,-2.731,78,-0.291,78,-0.459,78,-3.822,78,-3.218
79,-1.177,79,-1.204,79,-3.78,79,-2.701,79,-0.265,79,-0.463,79,-3.821,79,-3.249
80,-1.185,80,-1.189,80,-3.785,80,-2.781,80,-0.22,80,-0.413,80,-3.824,80,-3.282
81,-1.174,81,-1.167,81,-3.788,81,-2.734,81,-0.251,81,-0.403,81,-3.825,81,-3.206
82,-1.175,82,-1.178,82,-3.783,82,-2.876,82,-0.275,82,-0.423,82,-3.821,82,-3.402
83,-1.172,83,-1.184,83,-3.797,83,-2.561,83,-0.246,83,-0.324,83,-3.827,83,-3.067
84,-1.176,84,-1.181,84,-3.803,84,-2.977,84,-0.271,84,-0.341,84,-3.831,84,-3.427
85,-1.194,85,-1.167,85,-3.808,85,-2.846,85,-0.288,85,-0.28,85,-3.836,85,-3.279
86,-1.186,86,-1.196,86,-3.798,86,-2.82,86,-0.211,86,-0.27,86,-3.832,86,-3.287
87,-1.195,87,-1.18,87,-3.805,87,-2.808,87,-0.262,87,-0.352,87,-3.833,87,-3.335
88,-1.181,88,-1.184,88,-3.809,88,-3.055,88,-0.215,88,-0.29,88,-3.836,88,-3.471
89,-1.174,89,-1.183,89,-3.801,89,-2.664,89,-0.238,89,-0.263,89,-3.833,89,-3.25
90,-1.169,90,-1.178,90,-3.811,90,-2.498,90,-0.261,90,-0.235,90,-3.839,90,-3.067
91,-1.178,91,-1.183,91,-3.809,91,-3.021,91,-0.265,91,-0.297,91,-3.836,91,-3.458
92,-1.174,92,-1.167,92,-3.808,92,-2.642,92,-0.293,92,-0.268,92,-3.839,92,-3.212
93,-1.174,93,-1.166,93,-3.811,93,-2.898,93,-0.215,93,-0.234,93,-3.84,93,-3.392
94,-1.164,94,-1.174,94,-3.818,94,-2.955,94,-0.164,94,-0.174,94,-3.844,94,-3.391
95,-1.163,95,-1.199,95,-3.804,95,-2.502,95,-0.163,95,-0.217,95,-3.835,95,-3.147
96,-1.163,96,-1.175,96,-3.814,96,-2.361,96,-0.24,96,-0.278,96,-3.839,96,-3.001
97,-1.154,97,-1.166,97,-3.806,97,-2.589,97,-0.202,97,-0.239,97,-3.837,97,-3.234
98,-1.168,98,-1.166,98,-3.818,98,-2.823,98,-0.196,98,-0.148,98,-3.844,98,-3.369
99,-1.16,99,-1.161,99,-3.826,99,-2.816,99,-0.199,99,-0.204,99,-3.848,99,-3.351
