Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score
1,-1.651,1,-3.3626,1,-1.5983,1,-1.2957,1,-1.3705,1,-3.3523,1,-1.2751,1,-0.29874
2,-1.7774,2,-3.3571,2,-1.7266,2,-1.3,2,-1.3118,2,-3.3489,2,-1.3792,2,-0.34128
3,-1.5496,3,-3.3544,3,-1.7067,3,-1.2511,3,-1.3488,3,-3.3462,3,-1.5369,3,-0.38426
4,-1.5831,4,-3.3575,4,-1.9457,4,-1.4484,4,-1.2974,4,-3.351,4,-1.8397,4,-0.3792
5,-1.446,5,-3.3414,5,-2.0136,5,-1.3145,5,-1.2759,5,-3.3424,5,-1.9306,5,-0.48609
6,-1.4419,6,-3.3446,6,-2.1449,6,-1.32,6,-1.1757,6,-3.331,6,-2.0931,6,-0.50836
7,-1.3783,7,-3.3337,7,-2.1076,7,-1.411,7,-1.0713,7,-3.3338,7,-2.1036,7,-0.68402
8,-1.3217,8,-3.3326,8,-2.2569,8,-1.4489,8,-1.1117,8,-3.3223,8,-2.164,8,-0.4418
9,-1.2931,9,-3.3254,9,-2.3003,9,-1.4125,9,-1.08,9,-3.3129,9,-2.2776,9,-0.69798
10,-1.3086,10,-3.3193,10,-2.3498,10,-1.3629,10,-1.0141,10,-3.3039,10,-2.3239,10,-0.51322
11,-1.2014,11,-3.3066,11,-2.3156,11,-1.5598,11,-0.99686,11,-3.2868,11,-2.368,11,-0.59801
12,-1.1575,12,-3.3074,12,-2.3927,12,-1.3918,12,-0.90007,12,-3.2989,12,-2.3654,12,-0.45371
13,-1.2379,13,-3.2708,13,-2.3668,13,-1.4134,13,-0.97372,13,-3.2517,13,-2.4273,13,-0.65661
14,-1.2924,14,-3.2655,14,-2.4162,14,-1.5227,14,-0.82996,14,-3.2585,14,-2.4524,14,-0.56741
15,-1.2558,15,-3.2416,15,-2.4864,15,-1.4477,15,-0.90704,15,-3.2382,15,-2.4975,15,-0.61901
16,-1.2622,16,-3.2626,16,-2.5329,16,-1.5039,16,-0.8613,16,-3.2459,16,-2.59,16,-0.60618
17,-1.4336,17,-3.2336,17,-2.6282,17,-1.5986,17,-0.86924,17,-3.2014,17,-2.617,17,-0.64563
18,-1.3016,18,-3.2121,18,-2.5775,18,-1.6178,18,-0.81469,18,-3.1888,18,-2.6024,18,-0.83682
19,-1.3093,19,-3.1832,19,-2.6079,19,-1.5021,19,-0.67945,19,-3.1851,19,-2.6068,19,-0.67629
20,-1.2816,20,-3.143,20,-2.6577,20,-1.4153,20,-0.82911,20,-3.1135,20,-2.6625,20,-0.73644
21,-1.2088,21,-3.1395,21,-2.6749,21,-1.4323,21,-0.78769,21,-3.1152,21,-2.6853,21,-0.61387
22,-1.3506,22,-3.11,22,-2.7293,22,-1.6088,22,-0.77061,22,-3.0993,22,-2.7029,22,-0.83551
23,-1.4442,23,-3.0878,23,-2.7481,23,-1.7067,23,-0.7155,23,-3.0761,23,-2.739,23,-0.88598
24,-1.329,24,-2.9912,24,-2.7787,24,-1.6098,24,-0.75999,24,-2.9927,24,-2.7887,24,-0.94217
25,-1.2026,25,-3.0184,25,-2.7941,25,-1.6315,25,-0.78589,25,-2.9918,25,-2.7961,25,-1.1326
26,-1.3043,26,-2.9453,26,-2.8244,26,-1.7354,26,-0.73193,26,-2.8857,26,-2.8053,26,-1.0093
27,-1.2826,27,-2.8761,27,-2.8567,27,-1.7667,27,-0.69285,27,-2.8828,27,-2.862,27,-1.233
28,-1.2748,28,-2.7803,28,-2.8664,28,-1.7998,28,-0.69791,28,-2.7609,28,-2.8851,28,-1.3124
29,-1.2106,29,-2.7509,29,-2.8583,29,-1.7651,29,-0.60851,29,-2.7592,29,-2.8945,29,-1.0627
30,-1.2206,30,-2.6947,30,-2.8436,30,-1.5599,30,-0.54515,30,-2.6847,30,-2.8839,30,-0.84424
31,-1.2581,31,-2.7095,31,-2.8887,31,-1.5706,31,-0.6861,31,-2.6874,31,-2.9059,31,-1.0372
32,-1.2794,32,-2.5557,32,-2.8823,32,-1.9168,32,-0.5927,32,-2.595,32,-2.9086,32,-1.0324
33,-1.2797,33,-2.504,33,-2.9025,33,-1.6868,33,-0.60884,33,-2.4469,33,-2.9041,33,-1.4472
34,-1.2869,34,-2.2936,34,-2.9176,34,-1.54,34,-0.51342,34,-2.351,34,-2.9163,34,-0.80201
35,-1.2874,35,-2.4335,35,-2.9557,35,-1.4467,35,-0.5507,35,-2.349,35,-2.9228,35,-0.94381
36,-1.1918,36,-2.179,36,-2.9508,36,-1.4405,36,-0.55191,36,-2.0387,36,-2.9362,36,-0.82906
37,-1.1181,37,-2.2522,37,-2.9655,37,-1.5243,37,-0.54519,37,-2.115,37,-2.9506,37,-0.98674
