HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,0.61,1,0.21,1,0.77,1,0.81,1,0.61,1,0.22,1,0.81,1,0.98
2,0.62,2,0.22,2,0.74,2,0.81,2,0.64,2,0.22,2,0.76,2,0.96
3,0.63,3,0.23,3,0.7,3,0.81,3,0.64,3,0.24,3,0.71,3,0.95
4,0.64,4,0.24,4,0.68,4,0.81,4,0.64,4,0.25,4,0.68,4,0.95
5,0.64,5,0.25,5,0.65,5,0.81,5,0.65,5,0.25,5,0.66,5,0.95
6,0.65,6,0.27,6,0.64,6,0.81,6,0.66,6,0.28,6,0.63,6,0.95
7,0.66,7,0.29,7,0.61,7,0.8,7,0.67,7,0.29,7,0.6,7,0.93
8,0.67,8,0.3,8,0.59,8,0.81,8,0.68,8,0.3,8,0.58,8,0.94
9,0.68,9,0.31,9,0.57,9,0.8,9,0.69,9,0.31,9,0.56,9,0.93
10,0.7,10,0.34,10,0.56,10,0.79,10,0.71,10,0.34,10,0.55,10,0.91
11,0.71,11,0.36,11,0.54,11,0.8,11,0.73,11,0.35,11,0.54,11,0.94
12,0.72,12,0.38,12,0.53,12,0.79,12,0.75,12,0.38,12,0.52,12,0.91
13,0.73,13,0.41,13,0.51,13,0.79,13,0.76,13,0.41,13,0.5,13,0.91
14,0.74,14,0.43,14,0.5,14,0.8,14,0.77,14,0.42,14,0.48,14,0.92
15,0.75,15,0.47,15,0.49,15,0.78,15,0.79,15,0.46,15,0.48,15,0.89
16,0.76,16,0.49,16,0.48,16,0.79,16,0.8,16,0.48,16,0.46,16,0.89
17,0.77,17,0.51,17,0.47,17,0.79,17,0.81,17,0.5,17,0.46,17,0.9
18,0.77,18,0.54,18,0.46,18,0.77,18,0.82,18,0.53,18,0.45,18,0.89
19,0.78,19,0.57,19,0.45,19,0.79,19,0.84,19,0.55,19,0.44,19,0.91
20,0.78,20,0.59,20,0.44,20,0.78,20,0.85,20,0.57,20,0.43,20,0.88
21,0.79,21,0.64,21,0.44,21,0.79,21,0.85,21,0.6,21,0.43,21,0.92
22,0.79,22,0.64,22,0.43,22,0.78,22,0.86,22,0.61,22,0.42,22,0.89
23,0.8,23,0.67,23,0.42,23,0.77,23,0.87,23,0.64,23,0.41,23,0.86
24,0.8,24,0.68,24,0.41,24,0.79,24,0.88,24,0.65,24,0.4,24,0.9
25,0.8,25,0.7,25,0.4,25,0.79,25,0.88,25,0.68,25,0.4,25,0.89
26,0.8,26,0.72,26,0.4,26,0.78,26,0.89,26,0.7,26,0.39,26,0.89
27,0.8,27,0.74,27,0.39,27,0.78,27,0.9,27,0.71,27,0.38,27,0.88
28,0.8,28,0.76,28,0.38,28,0.76,28,0.89,28,0.73,28,0.38,28,0.86
29,0.8,29,0.77,29,0.38,29,0.77,29,0.9,29,0.73,29,0.37,29,0.86
30,0.8,30,0.77,30,0.37,30,0.76,30,0.9,30,0.76,30,0.37,30,0.84
31,0.8,31,0.79,31,0.36,31,0.78,31,0.9,31,0.76,31,0.36,31,0.88
32,0.8,32,0.8,32,0.36,32,0.76,32,0.9,32,0.78,32,0.35,32,0.86
33,0.8,33,0.8,33,0.35,33,0.77,33,0.9,33,0.78,33,0.35,33,0.87
34,0.8,34,0.81,34,0.35,34,0.75,34,0.9,34,0.79,34,0.34,34,0.84
35,0.81,35,0.8,35,0.34,35,0.78,35,0.91,35,0.81,35,0.34,35,0.88
36,0.81,36,0.8,36,0.34,36,0.77,36,0.91,36,0.81,36,0.33,36,0.87
37,0.81,37,0.81,37,0.33,37,0.76,37,0.91,37,0.82,37,0.33,37,0.84
38,0.8,38,0.81,38,0.33,38,0.76,38,0.91,38,0.82,38,0.33,38,0.84
39,0.81,39,0.81,39,0.33,39,0.78,39,0.91,39,0.82,39,0.32,39,0.85
40,0.81,40,0.81,40,0.32,40,0.75,40,0.91,40,0.83,40,0.32,40,0.84
41,0.81,41,0.81,41,0.32,41,0.76,41,0.91,41,0.84,41,0.32,41,0.85
42,0.81,42,0.8,42,0.31,42,0.76,42,0.91,42,0.83,42,0.31,42,0.83
43,0.81,43,0.81,43,0.31,43,0.76,43,0.92,43,0.84,43,0.31,43,0.84
44,0.81,44,0.81,44,0.31,44,0.76,44,0.92,44,0.84,44,0.31,44,0.84
45,0.81,45,0.81,45,0.31,45,0.77,45,0.93,45,0.85,45,0.3,45,0.86
46,0.81,46,0.81,46,0.3,46,0.77,46,0.93,46,0.85,46,0.3,46,0.87
