Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score
1,-1.8098,1,-3.3566,1,-1.8021,1,-1.8174,1,-1.0205,1,-3.3544,1,-1.2294,1,-0.033933
2,-1.8136,2,-3.3565,2,-2.0594,2,-1.7359,2,-0.96857,2,-3.351,2,-1.7054,2,-0.20019
3,-1.7466,3,-3.3532,3,-2.141,3,-1.73,3,-1.0426,3,-3.346,3,-1.9861,3,-0.26567
4,-1.6487,4,-3.3465,4,-2.3874,4,-1.6709,4,-1.0767,4,-3.3416,4,-2.3135,4,-0.28244
5,-1.6571,5,-3.3458,5,-2.4832,5,-1.6494,5,-0.99713,5,-3.3417,5,-2.4976,5,-0.30967
6,-1.5677,6,-3.3467,6,-2.6299,6,-1.661,6,-0.95797,6,-3.3353,6,-2.5491,6,-0.27355
7,-1.7817,7,-3.3328,7,-2.6556,7,-1.7825,7,-1.0564,7,-3.3211,7,-2.6022,7,-0.47722
8,-1.6848,8,-3.3293,8,-2.6984,8,-1.7775,8,-0.9544,8,-3.3294,8,-2.623,8,-0.37963
9,-1.8142,9,-3.324,9,-2.8136,9,-1.7281,9,-0.93866,9,-3.3221,9,-2.7802,9,-0.50205
10,-1.7033,10,-3.318,10,-2.813,10,-1.8713,10,-0.88496,10,-3.3123,10,-2.7835,10,-0.49075
11,-1.6573,11,-3.3135,11,-2.9268,11,-1.7121,11,-0.79936,11,-3.3014,11,-2.8767,11,-0.32541
12,-1.5927,12,-3.3053,12,-2.8937,12,-1.7431,12,-0.76451,12,-3.2963,12,-2.81,12,-0.51974
13,-1.5822,13,-3.2867,13,-2.9145,13,-1.8241,13,-0.84437,13,-3.2764,13,-2.8531,13,-0.52804
14,-1.8099,14,-3.2873,14,-2.9216,14,-1.8243,14,-0.86097,14,-3.263,14,-2.8581,14,-0.58615
15,-1.7968,15,-3.2583,15,-2.9509,15,-1.9161,15,-0.79084,15,-3.2685,15,-2.8882,15,-0.73085
16,-1.6241,16,-3.257,16,-3.0107,16,-1.8164,16,-0.78048,16,-3.2423,16,-2.951,16,-0.65948
17,-1.7907,17,-3.2456,17,-3.0011,17,-1.7975,17,-0.72886,17,-3.2338,17,-2.9666,17,-0.62342
18,-1.6841,18,-3.2259,18,-3.0517,18,-1.984,18,-0.73104,18,-3.214,18,-3.0363,18,-0.80758
19,-1.606,19,-3.2082,19,-3.0352,19,-1.9085,19,-0.67616,19,-3.203,19,-3.0022,19,-0.68721
20,-1.6223,20,-3.2205,20,-3.0499,20,-2.0225,20,-0.64881,20,-3.2094,20,-3.0469,20,-1.0136
21,-1.8234,21,-3.1825,21,-3.0338,21,-1.8502,21,-0.72972,21,-3.1601,21,-3.0087,21,-0.65831
22,-1.7195,22,-3.1733,22,-3.0707,22,-2.0452,22,-0.65633,22,-3.1558,22,-3.0431,22,-0.85394
23,-1.694,23,-3.1374,23,-3.0789,23,-1.936,23,-0.62623,23,-3.1305,23,-3.0608,23,-0.91921
24,-1.7899,24,-3.1272,24,-3.0798,24,-1.8532,24,-0.70133,24,-3.0985,24,-3.0598,24,-0.91673
25,-1.623,25,-3.1265,25,-3.0648,25,-1.9324,25,-0.62653,25,-3.1233,25,-3.0334,25,-0.6788
26,-1.7235,26,-3.0585,26,-3.0899,26,-1.923,26,-0.60283,26,-3.0673,26,-3.075,26,-0.99403
27,-1.6448,27,-3.061,27,-3.0828,27,-2.0209,27,-0.56222,27,-3.0504,27,-3.087,27,-0.93546
28,-1.6519,28,-2.9849,28,-3.0717,28,-1.9687,28,-0.64322,28,-2.9326,28,-3.086,28,-0.94696
29,-1.6141,29,-2.9421,29,-3.0906,29,-1.9968,29,-0.59973,29,-2.9149,29,-3.0793,29,-0.99858
30,-1.6274,30,-2.9513,30,-3.0915,30,-2.2044,30,-0.50651,30,-2.9271,30,-3.1026,30,-1.3555
31,-1.7347,31,-2.8573,31,-3.1171,31,-2.0543,31,-0.71068,31,-2.7747,31,-3.1184,31,-1.08
32,-1.6137,32,-2.8145,32,-3.1125,32,-1.9522,32,-0.57498,32,-2.7583,32,-3.117,32,-1.094
33,-1.5699,33,-2.6847,33,-3.1216,33,-2.0779,33,-0.63478,33,-2.6495,33,-3.1153,33,-1.3758
34,-1.6656,34,-2.6512,34,-3.1227,34,-2.0511,34,-0.57476,34,-2.511,34,-3.1149,34,-1.3081
35,-1.5864,35,-2.5903,35,-3.1587,35,-1.9682,35,-0.51812,35,-2.4214,35,-3.141,35,-0.95154
36,-1.6289,36,-2.4898,36,-3.1564,36,-1.984,36,-0.48141,36,-2.2585,36,-3.1426,36,-1.3348
37,-1.6074,37,-2.4608,37,-3.1397,37,-1.9526,37,-0.48668,37,-2.2772,37,-3.1452,37,-1.3549
38,-1.5741,38,-2.3848,38,-3.1597,38,-2.1884,38,-0.47219,38,-2.077,38,-3.1545,38,-1.2276
39,-1.586,39,-2.2818,39,-3.1582,39,-1.9454,39,-0.48697,39,-1.9596,39,-3.1466,39,-1.3075
40,-1.6881,40,-2.1022,40,-3.1586,40,-2.109,40,-0.43962,40,-1.7091,40,-3.1639,40,-1.6252
41,-1.6292,41,-2.03,41,-3.1556,41,-2.085,41,-0.41339,41,-1.7062,41,-3.1636,41,-1.3496
42,-1.6005,42,-1.9766,42,-3.1561,42,-2.2346,42,-0.44448,42,-1.5546,42,-3.1695,42,-1.9217
43,-1.5893,43,-1.981,43,-3.1618,43,-2.0122,43,-0.46809,43,-1.4412,43,-3.1647,43,-1.4483
44,-1.589,44,-1.8358,44,-3.1784,44,-1.9629,44,-0.39845,44,-1.2254,44,-3.1739,44,-1.0858
45,-1.5947,45,-1.7357,45,-3.184,45,-2.0764,45,-0.44163,45,-1.0753,45,-3.1763,45,-1.0895
46,-1.6125,46,-1.7911,46,-3.1834,46,-2.2152,46,-0.43321,46,-1.1302,46,-3.1901,46,-1.0954
47,-1.6283,47,-1.6552,47,-3.1946,47,-2.3491,47,-0.43667,47,-1.0817,47,-3.1867,47,-1.9115
