Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-0.85,1,-3.16,1,-0.65,1,-0.64,1,-0.49,1,-3.3,1,-0.34,1,-0.28
2,-0.85,2,-3.06,2,-0.66,2,-0.64,2,-0.47,2,-3.2,2,-0.38,2,-0.28
3,-0.83,3,-3.03,3,-0.65,3,-0.64,3,-0.46,3,-3.19,3,-0.41,3,-0.29
4,-0.79,4,-2.98,4,-0.67,4,-0.64,4,-0.45,4,-3.14,4,-0.45,4,-0.29
5,-0.77,5,-2.9,5,-0.71,5,-0.63,5,-0.43,5,-3.06,5,-0.48,5,-0.29
6,-0.76,6,-2.8,6,-0.73,6,-0.63,6,-0.42,6,-2.98,6,-0.51,6,-0.28
7,-0.75,7,-2.86,7,-0.73,7,-0.64,7,-0.4,7,-3.02,7,-0.55,7,-0.3
8,-0.73,8,-2.67,8,-0.75,8,-0.66,8,-0.4,8,-2.84,8,-0.59,8,-0.32
9,-0.71,9,-2.59,9,-0.77,9,-0.65,9,-0.39,9,-2.78,9,-0.61,9,-0.31
10,-0.69,10,-2.5,10,-0.78,10,-0.68,10,-0.37,10,-2.68,10,-0.65,10,-0.35
11,-0.68,11,-2.44,11,-0.8,11,-0.65,11,-0.36,11,-2.62,11,-0.67,11,-0.3
12,-0.68,12,-2.34,12,-0.79,12,-0.68,12,-0.35,12,-2.54,12,-0.69,12,-0.34
13,-0.66,13,-2.3,13,-0.8,13,-0.67,13,-0.36,13,-2.48,13,-0.71,13,-0.34
14,-0.68,14,-2.15,14,-0.8,14,-0.64,14,-0.35,14,-2.35,14,-0.73,14,-0.3
15,-0.67,15,-2.08,15,-0.8,15,-0.64,15,-0.35,15,-2.26,15,-0.74,15,-0.32
16,-0.67,16,-2.05,16,-0.83,16,-0.65,16,-0.34,16,-2.2,16,-0.77,16,-0.34
17,-0.66,17,-1.92,17,-0.82,17,-0.67,17,-0.34,17,-2.08,17,-0.78,17,-0.36
18,-0.65,18,-1.77,18,-0.84,18,-0.68,18,-0.34,18,-1.94,18,-0.8,18,-0.35
19,-0.66,19,-1.76,19,-0.84,19,-0.65,19,-0.33,19,-1.91,19,-0.81,19,-0.32
20,-0.66,20,-1.63,20,-0.87,20,-0.71,20,-0.33,20,-1.75,20,-0.84,20,-0.38
21,-0.65,21,-1.51,21,-0.89,21,-0.66,21,-0.33,21,-1.62,21,-0.84,21,-0.35
22,-0.65,22,-1.46,22,-0.89,22,-0.69,22,-0.32,22,-1.57,22,-0.86,22,-0.38
23,-0.65,23,-1.44,23,-0.9,23,-0.7,23,-0.32,23,-1.52,23,-0.88,23,-0.39
24,-0.65,24,-1.41,24,-0.9,24,-0.65,24,-0.32,24,-1.47,24,-0.89,24,-0.34
25,-0.64,25,-1.32,25,-0.91,25,-0.67,25,-0.31,25,-1.34,25,-0.93,25,-0.34
26,-0.64,26,-1.27,26,-0.91,26,-0.68,26,-0.31,26,-1.23,26,-0.94,26,-0.36
27,-0.64,27,-1.18,27,-0.9,27,-0.7,27,-0.31,27,-1.14,27,-0.95,27,-0.37
28,-0.64,28,-1.05,28,-0.92,28,-0.69,28,-0.31,28,-1.01,28,-0.98,28,-0.38
29,-0.63,29,-1.01,29,-0.93,29,-0.7,29,-0.31,29,-0.95,29,-0.98,29,-0.38
30,-0.64,30,-0.97,30,-0.93,30,-0.72,30,-0.3,30,-0.86,30,-1.01,30,-0.45
31,-0.64,31,-0.92,31,-0.95,31,-0.69,31,-0.31,31,-0.8,31,-1.03,31,-0.4
32,-0.64,32,-0.85,32,-0.95,32,-0.72,32,-0.3,32,-0.71,32,-1.04,32,-0.4
33,-0.63,33,-0.81,33,-0.96,33,-0.75,33,-0.3,33,-0.66,33,-1.07,33,-0.45
34,-0.63,34,-0.78,34,-0.98,34,-0.71,34,-0.3,34,-0.63,34,-1.07,34,-0.44
35,-0.64,35,-0.76,35,-1.01,35,-0.67,35,-0.3,35,-0.58,35,-1.1,35,-0.37
36,-0.64,36,-0.73,36,-1.01,36,-0.68,36,-0.29,36,-0.55,36,-1.11,36,-0.37
37,-0.63,37,-0.69,37,-1.03,37,-0.73,37,-0.3,37,-0.52,37,-1.12,37,-0.44
38,-0.64,38,-0.7,38,-1.02,38,-0.77,38,-0.29,38,-0.48,38,-1.13,38,-0.47
39,-0.64,39,-0.68,39,-1.04,39,-0.67,39,-0.29,39,-0.48,39,-1.17,39,-0.38
40,-0.64,40,-0.68,40,-1.05,40,-0.72,40,-0.29,40,-0.44,40,-1.18,40,-0.44
41,-0.64,41,-0.66,41,-1.05,41,-0.76,41,-0.29,41,-0.43,41,-1.21,41,-0.49
