Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-0.127,1,-3.61,1,-1.708,1,-1.66,1,-0.126,1,-3.563,1,-0.964,1,0.211
2,-0.132,2,-0.458,2,-1.856,2,-1.574,2,-0.148,2,-0.175,2,-1.361,2,0.2
3,-0.171,3,-0.144,3,-2.061,3,-1.647,3,-0.225,3,-0.144,3,-1.623,3,0.206
4,-0.252,4,-0.143,4,-2.339,4,-1.612,4,-0.394,4,-0.143,4,-1.817,4,0.198
5,-0.382,5,-0.144,5,-2.586,5,-1.606,5,-0.618,5,-0.149,5,-2.023,5,0.178
6,-0.498,6,-0.173,6,-2.671,6,-1.637,6,-0.808,6,-0.234,6,-2.026,6,0.201
7,-0.597,7,-0.278,7,-2.757,7,-1.585,7,-0.886,7,-0.482,7,-1.995,7,0.173
8,-0.665,8,-0.575,8,-2.795,8,-0.543,8,-0.859,8,-1.111,8,-1.981,8,0.211
9,-0.656,9,-1.163,9,-2.784,9,-0.584,9,-0.728,9,-2.071,9,-2.041,9,0.211
10,-0.635,10,-1.811,10,-2.708,10,-1.685,10,-0.555,10,-2.713,10,-1.994,10,0.162
11,-0.604,11,-2.317,11,-2.726,11,-1.494,11,-0.365,11,-3.077,11,-2.051,11,0.21
12,-0.61,12,-2.72,12,-2.566,12,-1.668,12,-0.225,12,-3.305,12,-2.105,12,0.111
13,-0.694,13,-2.968,13,-2.469,13,-1.753,13,-0.149,13,-3.417,13,-2.078,13,0.202
14,-0.841,14,-3.007,14,-2.296,14,-1.668,14,-0.096,14,-3.432,14,-2.006,14,0.168
15,-1.013,15,-3.115,15,-2.229,15,-0.381,15,-0.119,15,-3.467,15,-1.996,15,0.204
16,-1.215,16,-3.092,16,-2.048,16,-1.579,16,-0.156,16,-3.44,16,-2.039,16,0.178
17,-1.418,17,-2.99,17,-1.923,17,-0.457,17,-0.206,17,-3.378,17,-1.954,17,0.209
18,-1.677,18,-2.912,18,-1.821,18,-1.672,18,-0.311,18,-3.294,18,-1.947,18,0.195
19,-1.696,19,-2.775,19,-1.742,19,-0.489,19,-0.337,19,-3.137,19,-1.926,19,0.206
20,-1.761,20,-2.474,20,-1.722,20,-0.502,20,-0.387,20,-2.879,20,-2.017,20,0.21
21,-1.777,21,-2.089,21,-1.644,21,-1.688,21,-0.42,21,-2.489,21,-2.034,21,0.192
22,-1.777,22,-1.727,22,-1.586,22,-0.632,22,-0.469,22,-2.094,22,-2.058,22,0.206
23,-1.748,23,-1.35,23,-1.408,23,-1.723,23,-0.448,23,-1.538,23,-1.968,23,0.191
24,-1.718,24,-1.244,24,-1.266,24,-1.817,24,-0.422,24,-1.259,24,-1.874,24,0.145
25,-1.697,25,-1.178,25,-1.296,25,-1.013,25,-0.398,25,-1.026,25,-1.951,25,0.201
26,-1.671,26,-1.55,26,-1.217,26,-1.708,26,-0.338,26,-1.115,26,-1.878,26,0.108
27,-1.633,27,-1.853,27,-1.215,27,-1.487,27,-0.324,27,-1.441,27,-1.869,27,0.197
28,-1.639,28,-1.863,28,-1.041,28,-1.107,28,-0.264,28,-1.474,28,-1.735,28,0.192
29,-1.607,29,-2.046,29,-0.956,29,-1.673,29,-0.254,29,-1.658,29,-1.631,29,0.114
30,-1.603,30,-2.122,30,-0.917,30,-1.526,30,-0.197,30,-1.729,30,-1.592,30,0.187
31,-1.578,31,-2.05,31,-0.91,31,-0.616,31,-0.175,31,-1.752,31,-1.612,31,0.183
32,-1.583,32,-2.053,32,-0.85,32,-1.102,32,-0.19,32,-1.734,32,-1.529,32,0.19
33,-1.57,33,-1.988,33,-0.8,33,-1.12,33,-0.183,33,-1.66,33,-1.497,33,0.196
34,-1.575,34,-1.973,34,-0.773,34,-0.927,34,-0.127,34,-1.525,34,-1.44,34,0.192
35,-1.583,35,-1.891,35,-0.727,35,-0.528,35,-0.127,35,-1.508,35,-1.356,35,0.188
36,-1.583,36,-1.851,36,-0.678,36,-1.791,36,-0.117,36,-1.362,36,-1.284,36,0.126
37,-1.564,37,-1.809,37,-0.607,37,-1.651,37,-0.079,37,-1.302,37,-1.155,37,0.168
38,-1.557,38,-1.759,38,-0.551,38,-0.548,38,-0.072,38,-1.238,38,-1.057,38,0.191
39,-1.577,39,-1.712,39,-0.563,39,-0.828,39,-0.062,39,-1.122,39,-1.082,39,0.199
40,-1.564,40,-1.733,40,-0.52,40,-1.51,40,-0.044,40,-1.09,40,-1.009,40,0.163
41,-1.554,41,-1.701,41,-0.511,41,-1.799,41,-0.032,41,-0.982,41,-0.995,41,-0.097
42,-1.562,42,-1.646,42,-0.481,42,-0.591,42,-0.032,42,-0.94,42,-0.948,42,0.145
43,-1.546,43,-1.652,43,-0.453,43,-0.82,43,-0.022,43,-0.907,43,-0.888,43,0.17
44,-1.554,44,-1.633,44,-0.445,44,-0.593,44,-0.028,44,-0.906,44,-0.862,44,0.181
45,-1.554,45,-1.634,45,-0.394,45,-1.574,45,-0.017,45,-0.799,45,-0.755,45,0.094
46,-1.57,46,-1.625,46,-0.36,46,-0.935,46,-0.013,46,-0.732,46,-0.68,46,0.167
47,-1.565,47,-1.566,47,-0.342,47,-0.587,47,-0.001,47,-0.685,47,-0.634,47,0.199
48,-1.573,48,-1.598,48,-0.338,48,-1.235,48,0.001,48,-0.64,48,-0.638,48,0.167
49,-1.58,49,-1.558,49,-0.309,49,-0.487,49,-0.001,49,-0.582,49,-0.568,49,0.167
50,-1.588,50,-1.565,50,-0.293,50,-0.787,50,0.007,50,-0.549,50,-0.537,50,0.184
51,-1.608,51,-1.586,51,-0.276,51,-0.649,51,0.009,51,-0.452,51,-0.495,51,0.117
52,-1.582,52,-1.582,52,-0.269,52,-0.531,52,0.026,52,-0.445,52,-0.48,52,0.179
53,-1.581,53,-1.572,53,-0.25,53,-0.437,53,0.03,53,-0.446,53,-0.433,53,0.191
54,-1.585,54,-1.554,54,-0.245,54,-1.2,54,0.054,54,-0.368,54,-0.421,54,0.145
55,-1.576,55,-1.567,55,-0.242,55,-0.539,55,0.045,55,-0.33,55,-0.42,55,0.146
56,-1.568,56,-1.587,56,-0.233,56,-0.548,56,0.06,56,-0.272,56,-0.394,56,0.128
57,-1.578,57,-1.561,57,-0.218,57,-1.747,57,0.059,57,-0.26,57,-0.358,57,0.011
58,-1.565,58,-1.583,58,-0.21,58,-0.489,58,0.062,58,-0.212,58,-0.337,58,0.111
59,-1.559,59,-1.536,59,-0.201,59,-0.508,59,0.076,59,-0.21,59,-0.319,59,0.157
60,-1.552,60,-1.577,60,-0.196,60,-1.034,60,0.069,60,-0.176,60,-0.297,60,0.167
61,-1.563,61,-1.571,61,-0.19,61,-0.593,61,0.082,61,-0.119,61,-0.285,61,0.12
62,-1.555,62,-1.544,62,-0.187,62,-0.885,62,0.095,62,-0.07,62,-0.276,62,0.144
63,-1.578,63,-1.556,63,-0.188,63,-0.46,63,0.076,63,-0.091,63,-0.278,63,0.176
