Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-3.086,1,-3.863,1,-1.068,1,-0.993,1,-3.291,1,-3.881,1,-1.529,1,-0.022
2,-3.076,2,-3.864,2,-1.164,2,-0.995,2,-3.212,2,-3.882,2,-1.904,2,-0.235
3,-3.061,3,-3.862,3,-1.262,3,-1.002,3,-3.203,3,-3.881,3,-2.191,3,-0.103
4,-3.052,4,-3.862,4,-1.469,4,-0.988,4,-3.231,4,-3.88,4,-2.352,4,-0.159
5,-3.018,5,-3.864,5,-1.653,5,-1.025,5,-3.292,5,-3.882,5,-2.513,5,-0.424
6,-2.959,6,-3.868,6,-1.725,6,-1.086,6,-3.271,6,-3.884,6,-2.57,6,-0.54
7,-2.93,7,-3.866,7,-1.886,7,-1.015,7,-3.272,7,-3.884,7,-2.611,7,-0.27
8,-2.862,8,-3.865,8,-1.954,8,-1.07,8,-3.212,8,-3.884,8,-2.704,8,-0.564
9,-2.8,9,-3.861,9,-2.126,9,-1.073,9,-3.153,9,-3.881,9,-2.823,9,-0.55
10,-2.688,10,-3.86,10,-2.259,10,-1.342,10,-3.087,10,-3.882,10,-2.874,10,-0.949
11,-2.574,11,-3.855,11,-2.393,11,-1.659,11,-2.984,11,-3.88,11,-2.988,11,-1.312
12,-2.463,12,-3.846,12,-2.516,12,-1.011,12,-2.817,12,-3.875,12,-3.081,12,-0.308
13,-2.283,13,-3.831,13,-2.633,13,-1.227,13,-2.679,13,-3.868,13,-3.167,13,-0.874
14,-2.174,14,-3.82,14,-2.779,14,-1.085,14,-2.514,14,-3.863,14,-3.232,14,-0.554
15,-1.969,15,-3.799,15,-2.842,15,-1.273,15,-2.319,15,-3.854,15,-3.255,15,-1.088
16,-1.824,16,-3.778,16,-2.976,16,-1.492,16,-2.128,16,-3.844,16,-3.316,16,-1.124
17,-1.661,17,-3.742,17,-3.105,17,-1.187,17,-1.945,17,-3.829,17,-3.379,17,-0.772
18,-1.592,18,-3.718,18,-3.145,18,-1.125,18,-1.791,18,-3.818,18,-3.397,18,-0.794
19,-1.435,19,-3.665,19,-3.211,19,-1.171,19,-1.603,19,-3.797,19,-3.416,19,-0.814
20,-1.337,20,-3.622,20,-3.291,20,-1.184,20,-1.406,20,-3.781,20,-3.48,20,-0.859
21,-1.269,21,-3.562,21,-3.316,21,-1.239,21,-1.281,21,-3.757,21,-3.497,21,-0.864
