Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score
1,-1.3476,1,-3.3765,1,-1.152,1,-1.0073,1,-1.5903,1,-3.3717,1,-1.0125,1,-0.10794
2,-1.5052,2,-3.3736,2,-1.5018,2,-1.0069,2,-1.4549,2,-3.3689,2,-1.3718,2,-0.16381
3,-1.3629,3,-3.3648,3,-1.6241,3,-1.0498,3,-1.314,3,-3.3622,3,-1.7732,3,-0.22046
4,-1.4673,4,-3.365,4,-1.9107,4,-1.0635,4,-1.175,4,-3.3606,4,-1.8934,4,-0.22116
5,-1.3738,5,-3.3521,5,-2.0246,5,-1.0161,5,-1.2637,5,-3.3503,5,-2.1415,5,-0.35661
6,-1.283,6,-3.3487,6,-2.1737,6,-1.0932,6,-1.2123,6,-3.3472,6,-2.2304,6,-0.30163
7,-1.4439,7,-3.3413,7,-2.2475,7,-1.0751,7,-1.3216,7,-3.3427,7,-2.3751,7,-0.36917
8,-1.1075,8,-3.3399,8,-2.3852,8,-1.111,8,-1.2925,8,-3.3369,8,-2.4333,8,-0.45638
9,-1.1814,9,-3.328,9,-2.3644,9,-1.0587,9,-1.2137,9,-3.3216,9,-2.4492,9,-0.36798
10,-1.2697,10,-3.3241,10,-2.3994,10,-1.0826,10,-1.1746,10,-3.321,10,-2.4882,10,-0.38222
11,-1.1737,11,-3.2967,11,-2.5039,11,-1.1665,11,-1.0324,11,-3.2914,11,-2.5851,11,-0.42789
12,-1.2871,12,-3.2871,12,-2.5059,12,-1.1196,12,-1.001,12,-3.2909,12,-2.5792,12,-0.44864
13,-1.1507,13,-3.2861,13,-2.5158,13,-1.1361,13,-1.1014,13,-3.2839,13,-2.6515,13,-0.388
14,-1.0684,14,-3.2624,14,-2.5858,14,-1.0602,14,-0.91295,14,-3.2598,14,-2.6859,14,-0.44759
15,-1.0395,15,-3.2464,15,-2.5663,15,-1.1316,15,-0.89071,15,-3.2414,15,-2.6763,15,-0.48634
16,-1.2332,16,-3.2067,16,-2.6425,16,-1.0292,16,-0.87344,16,-3.1957,16,-2.6943,16,-0.55065
17,-1.231,17,-3.213,17,-2.6751,17,-1.0662,17,-0.84689,17,-3.1874,17,-2.7253,17,-0.52797
18,-1.1365,18,-3.1613,18,-2.724,18,-1.144,18,-0.79877,18,-3.1397,18,-2.7313,18,-0.45147
19,-1.1777,19,-3.1286,19,-2.7598,19,-1.1819,19,-0.82094,19,-3.0997,19,-2.8009,19,-0.64197
20,-1.0595,20,-3.0808,20,-2.7533,20,-1.1648,20,-0.74173,20,-3.0644,20,-2.8131,20,-0.57082
