Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-3.838,1,-3.907,1,-2.128,1,-1.529,1,-3.858,1,-3.91,1,-2.657,1,0.146
2,-3.831,2,-3.906,2,-2.693,2,-2.452,2,-3.86,2,-3.91,2,-3.219,2,-1.475
3,-3.831,3,-3.905,3,-2.967,3,-2.17,3,-3.859,3,-3.909,3,-3.476,3,-1.17
4,-3.83,4,-3.905,4,-3.212,4,-2.475,4,-3.857,4,-3.909,4,-3.602,4,-1.486
5,-3.832,5,-3.905,5,-3.347,5,-3.238,5,-3.854,5,-3.909,5,-3.666,5,-2.642
6,-3.827,6,-3.904,6,-3.475,6,-2.833,6,-3.847,6,-3.909,6,-3.737,6,-2.278
7,-3.823,7,-3.903,7,-3.573,7,-2.905,7,-3.842,7,-3.908,7,-3.77,7,-2.297
8,-3.812,8,-3.901,8,-3.6,8,-2.482,8,-3.836,8,-3.908,8,-3.788,8,-1.836
9,-3.81,9,-3.9,9,-3.645,9,-2.726,9,-3.835,9,-3.907,9,-3.796,9,-1.979
10,-3.805,10,-3.9,10,-3.673,10,-2.992,10,-3.828,10,-3.907,10,-3.808,10,-2.556
11,-3.8,11,-3.899,11,-3.701,11,-3.174,11,-3.822,11,-3.906,11,-3.819,11,-2.666
12,-3.794,12,-3.897,12,-3.722,12,-3.358,12,-3.812,12,-3.906,12,-3.824,12,-2.903
13,-3.785,13,-3.896,13,-3.738,13,-3.39,13,-3.804,13,-3.905,13,-3.829,13,-2.904
14,-3.776,14,-3.892,14,-3.754,14,-3.248,14,-3.797,14,-3.903,14,-3.833,14,-2.853
15,-3.77,15,-3.89,15,-3.772,15,-3.255,15,-3.784,15,-3.902,15,-3.838,15,-2.757
16,-3.755,16,-3.89,16,-3.78,16,-3.617,16,-3.777,16,-3.902,16,-3.845,16,-3.46
17,-3.747,17,-3.885,17,-3.793,17,-3.466,17,-3.764,17,-3.899,17,-3.847,17,-3.143
18,-3.733,18,-3.882,18,-3.796,18,-3.259,18,-3.753,18,-3.898,18,-3.852,18,-2.933
19,-3.717,19,-3.876,19,-3.803,19,-3.376,19,-3.741,19,-3.895,19,-3.855,19,-3.001
20,-3.706,20,-3.872,20,-3.811,20,-3.675,20,-3.726,20,-3.895,20,-3.86,20,-3.561
21,-3.688,21,-3.871,21,-3.814,21,-3.48,21,-3.715,21,-3.893,21,-3.861,21,-3.213
22,-3.66,22,-3.862,22,-3.824,22,-3.664,22,-3.688,22,-3.89,22,-3.866,22,-3.619
23,-3.641,23,-3.853,23,-3.822,23,-3.246,23,-3.683,23,-3.886,23,-3.866,23,-2.985
24,-3.626,24,-3.85,24,-3.829,24,-3.604,24,-3.662,24,-3.884,24,-3.87,24,-3.486
25,-3.589,25,-3.83,25,-3.833,25,-3.679,25,-3.635,25,-3.879,25,-3.871,25,-3.611
26,-3.539,26,-3.82,26,-3.841,26,-3.546,26,-3.597,26,-3.873,26,-3.874,26,-3.35
27,-3.505,27,-3.801,27,-3.843,27,-3.722,27,-3.571,27,-3.866,27,-3.875,27,-3.688
28,-3.473,28,-3.795,28,-3.843,28,-3.763,28,-3.549,28,-3.863,28,-3.877,28,-3.691
29,-3.401,29,-3.785,29,-3.846,29,-3.624,29,-3.502,29,-3.853,29,-3.878,29,-3.471
30,-3.349,30,-3.749,30,-3.852,30,-3.677,30,-3.452,30,-3.844,30,-3.881,30,-3.598
31,-3.254,31,-3.736,31,-3.854,31,-3.661,31,-3.394,31,-3.834,31,-3.883,31,-3.574
32,-3.198,32,-3.703,32,-3.855,32,-3.74,32,-3.333,32,-3.825,32,-3.883,32,-3.755
33,-3.048,33,-3.667,33,-3.858,33,-3.762,33,-3.208,33,-3.806,33,-3.883,33,-3.737
34,-2.946,34,-3.599,34,-3.863,34,-3.743,34,-3.104,34,-3.775,34,-3.886,34,-3.702
35,-2.885,35,-3.544,35,-3.864,35,-3.674,35,-3.011,35,-3.754,35,-3.886,35,-3.632
36,-2.731,36,-3.511,36,-3.865,36,-3.792,36,-2.902,36,-3.744,36,-3.888,36,-3.784
37,-2.581,37,-3.437,37,-3.867,37,-3.772,37,-2.771,37,-3.7,37,-3.888,37,-3.763
38,-2.477,38,-3.414,38,-3.871,38,-3.806,38,-2.634,38,-3.678,38,-3.89,38,-3.789
39,-2.35,39,-3.301,39,-3.872,39,-3.782,39,-2.494,39,-3.631,39,-3.891,39,-3.767
40,-2.217,40,-3.213,40,-3.874,40,-3.782,40,-2.271,40,-3.579,40,-3.892,40,-3.772
41,-2.129,41,-3.14,41,-3.875,41,-3.754,41,-2.127,41,-3.564,41,-3.892,41,-3.723
42,-2.051,42,-3.076,42,-3.876,42,-3.789,42,-2.114,42,-3.505,42,-3.893,42,-3.768
43,-1.975,43,-2.913,43,-3.876,43,-3.797,43,-1.89,43,-3.403,43,-3.893,43,-3.799
44,-1.88,44,-2.881,44,-3.877,44,-3.775,44,-1.785,44,-3.361,44,-3.895,44,-3.768
45,-1.797,45,-2.82,45,-3.879,45,-3.795,45,-1.776,45,-3.269,45,-3.895,45,-3.783
46,-1.8,46,-2.741,46,-3.878,46,-3.741,46,-1.715,46,-3.159,46,-3.896,46,-3.713
47,-1.785,47,-2.567,47,-3.88,47,-3.828,47,-1.652,47,-3.06,47,-3.897,47,-3.83
48,-1.686,48,-2.451,48,-3.88,48,-3.816,48,-1.5,48,-2.904,48,-3.897,48,-3.822
49,-1.659,49,-2.347,49,-3.883,49,-3.849,49,-1.498,49,-2.827,49,-3.898,49,-3.862
50,-1.718,50,-2.299,50,-3.881,50,-3.733,50,-1.458,50,-2.711,50,-3.898,50,-3.706
51,-1.653,51,-2.144,51,-3.882,51,-3.805,51,-1.452,51,-2.491,51,-3.898,51,-3.798
52,-1.669,52,-2.025,52,-3.882,52,-3.84,52,-1.392,52,-2.357,52,-3.898,52,-3.844
53,-1.641,53,-1.972,53,-3.885,53,-3.805,53,-1.327,53,-2.221,53,-3.899,53,-3.817
54,-1.584,54,-1.835,54,-3.883,54,-3.82,54,-1.337,54,-2.093,54,-3.898,54,-3.826
55,-1.58,55,-1.819,55,-3.883,55,-3.831,55,-1.271,55,-1.968,55,-3.899,55,-3.836
56,-1.601,56,-1.724,56,-3.884,56,-3.802,56,-1.178,56,-1.908,56,-3.899,56,-3.802
57,-1.584,57,-1.734,57,-3.885,57,-3.856,57,-1.314,57,-1.638,57,-3.899,57,-3.862
58,-1.549,58,-1.626,58,-3.886,58,-3.803,58,-1.246,58,-1.667,58,-3.9,58,-3.802
