HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,0.56,1,0.24,1,0.83,1,0.85,1,0.55,1,0.25,1,0.84,1,1.0
2,0.57,2,0.26,2,0.8,2,0.85,2,0.58,2,0.26,2,0.79,2,0.97
3,0.57,3,0.27,3,0.76,3,0.83,3,0.57,3,0.27,3,0.74,3,0.93
4,0.58,4,0.29,4,0.72,4,0.84,4,0.57,4,0.29,4,0.7,4,0.95
5,0.59,5,0.3,5,0.71,5,0.85,5,0.57,5,0.31,5,0.68,5,0.96
6,0.6,6,0.33,6,0.68,6,0.85,6,0.58,6,0.33,6,0.65,6,0.93
7,0.6,7,0.34,7,0.66,7,0.84,7,0.59,7,0.34,7,0.64,7,0.94
8,0.6,8,0.36,8,0.64,8,0.85,8,0.6,8,0.36,8,0.61,8,0.97
9,0.62,9,0.38,9,0.62,9,0.85,9,0.61,9,0.38,9,0.6,9,0.95
10,0.63,10,0.4,10,0.6,10,0.81,10,0.63,10,0.4,10,0.58,10,0.91
11,0.64,11,0.43,11,0.58,11,0.83,11,0.64,11,0.42,11,0.56,11,0.92
12,0.65,12,0.46,12,0.56,12,0.85,12,0.66,12,0.44,12,0.55,12,0.94
13,0.67,13,0.48,13,0.55,13,0.84,13,0.68,13,0.46,13,0.53,13,0.93
14,0.68,14,0.51,14,0.54,14,0.83,14,0.7,14,0.5,14,0.52,14,0.91
15,0.7,15,0.52,15,0.52,15,0.81,15,0.72,15,0.5,15,0.5,15,0.89
16,0.71,16,0.55,16,0.51,16,0.79,16,0.73,16,0.53,16,0.49,16,0.89
17,0.73,17,0.58,17,0.5,17,0.77,17,0.76,17,0.55,17,0.48,17,0.86
18,0.74,18,0.61,18,0.49,18,0.82,18,0.77,18,0.58,18,0.47,18,0.89
19,0.76,19,0.65,19,0.48,19,0.82,19,0.78,19,0.62,19,0.46,19,0.91
20,0.77,20,0.65,20,0.48,20,0.82,20,0.8,20,0.62,20,0.46,20,0.91
21,0.78,21,0.68,21,0.46,21,0.81,21,0.82,21,0.64,21,0.45,21,0.88
