Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-0.88,1,-3.39,1,-0.65,1,-0.65,1,-0.54,1,-3.54,1,-0.34,1,-0.29
2,-0.86,2,-3.3,2,-0.66,2,-0.63,2,-0.51,2,-3.45,2,-0.36,2,-0.28
3,-0.85,3,-3.34,3,-0.69,3,-0.63,3,-0.5,3,-3.49,3,-0.41,3,-0.29
4,-0.81,4,-3.26,4,-0.72,4,-0.67,4,-0.47,4,-3.43,4,-0.46,4,-0.32
5,-0.79,5,-3.29,5,-0.73,5,-0.63,5,-0.46,5,-3.44,5,-0.51,5,-0.28
6,-0.78,6,-3.25,6,-0.74,6,-0.66,6,-0.44,6,-3.43,6,-0.52,6,-0.32
7,-0.74,7,-3.15,7,-0.77,7,-0.66,7,-0.42,7,-3.32,7,-0.58,7,-0.31
8,-0.72,8,-3.11,8,-0.8,8,-0.67,8,-0.4,8,-3.29,8,-0.6,8,-0.32
9,-0.72,9,-3.13,9,-0.84,9,-0.69,9,-0.38,9,-3.3,9,-0.65,9,-0.38
10,-0.7,10,-3.01,10,-0.85,10,-0.67,10,-0.37,10,-3.19,10,-0.66,10,-0.33
11,-0.68,11,-2.93,11,-0.88,11,-0.63,11,-0.35,11,-3.12,11,-0.72,11,-0.29
12,-0.68,12,-2.87,12,-0.92,12,-0.69,12,-0.34,12,-3.08,12,-0.75,12,-0.35
13,-0.66,13,-2.76,13,-0.94,13,-0.65,13,-0.33,13,-2.96,13,-0.77,13,-0.33
14,-0.66,14,-2.67,14,-0.96,14,-0.7,14,-0.33,14,-2.87,14,-0.8,14,-0.39
15,-0.66,15,-2.5,15,-0.98,15,-0.7,15,-0.32,15,-2.71,15,-0.83,15,-0.37
16,-0.65,16,-2.44,16,-1.04,16,-0.72,16,-0.32,16,-2.67,16,-0.9,16,-0.43
17,-0.65,17,-2.33,17,-1.03,17,-0.73,17,-0.32,17,-2.54,17,-0.91,17,-0.4
18,-0.66,18,-2.21,18,-1.06,18,-0.69,18,-0.32,18,-2.43,18,-0.93,18,-0.37
19,-0.65,19,-2.14,19,-1.09,19,-0.68,19,-0.31,19,-2.36,19,-0.96,19,-0.39
20,-0.65,20,-2.05,20,-1.07,20,-0.74,20,-0.31,20,-2.28,20,-0.99,20,-0.42
