Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-3.085,1,-3.554,1,-1.084,1,-1.006,1,-2.797,1,-3.478,1,-0.81,1,0.175
2,-2.891,2,-3.409,2,-1.313,2,-1.014,2,-2.415,2,-3.154,2,-1.147,2,0.151
3,-2.68,3,-2.801,3,-1.425,3,-1.029,3,-2.278,3,-2.474,3,-1.353,3,0.106
4,-2.414,4,-1.623,4,-1.551,4,-0.999,4,-1.992,4,-1.894,4,-1.539,4,0.178
5,-2.154,5,-1.506,5,-1.65,5,-1.005,5,-1.794,5,-2.228,5,-1.693,5,0.031
6,-1.945,6,-1.94,6,-1.749,6,-1.001,6,-1.613,6,-2.635,6,-1.82,6,0.133
7,-1.78,7,-2.062,7,-1.861,7,-1.009,7,-1.485,7,-2.585,7,-1.922,7,0.001
8,-1.643,8,-2.125,8,-1.995,8,-1.04,8,-1.316,8,-2.516,8,-2.066,8,-0.014
9,-1.54,9,-2.133,9,-2.099,9,-1.005,9,-1.203,9,-2.439,9,-2.186,9,0.023
10,-1.464,10,-2.021,10,-2.201,10,-1.303,10,-1.093,10,-2.222,10,-2.303,10,0.053
11,-1.373,11,-2.142,11,-2.264,11,-1.319,11,-1.047,11,-2.258,11,-2.382,11,0.051
12,-1.314,12,-1.754,12,-2.35,12,-1.082,12,-0.905,12,-1.876,12,-2.467,12,-0.115
13,-1.27,13,-1.862,13,-2.499,13,-1.109,13,-0.915,13,-1.959,13,-2.599,13,-0.065
14,-1.215,14,-2.147,14,-2.61,14,-1.39,14,-0.828,14,-2.269,14,-2.686,14,-0.07
15,-1.167,15,-1.867,15,-2.667,15,-1.109,15,-0.722,15,-1.96,15,-2.744,15,-0.039
16,-1.144,16,-1.982,16,-2.783,16,-1.2,16,-0.619,16,-2.126,16,-2.849,16,-0.04
17,-1.109,17,-2.106,17,-2.84,17,-1.091,17,-0.601,17,-2.251,17,-2.904,17,-0.027
18,-1.097,18,-2.065,18,-2.887,18,-1.038,18,-0.577,18,-2.255,18,-2.957,18,-0.04
