Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-1.986,1,-3.568,1,-1.106,1,-1.073,1,-2.607,1,-3.74,1,-1.776,1,-0.235
2,-1.908,2,-3.581,2,-1.2,2,-1.062,2,-2.567,2,-3.742,2,-2.083,2,-0.215
3,-1.85,3,-3.55,3,-1.291,3,-1.064,3,-2.699,3,-3.727,3,-2.241,3,-0.35
4,-1.761,4,-3.519,4,-1.412,4,-1.119,4,-2.635,4,-3.719,4,-2.43,4,-0.554
5,-1.676,5,-3.527,5,-1.461,5,-1.077,5,-2.6,5,-3.725,5,-2.511,5,-0.428
6,-1.647,6,-3.516,6,-1.509,6,-1.066,6,-2.537,6,-3.719,6,-2.617,6,-0.564
7,-1.533,7,-3.445,7,-1.576,7,-1.064,7,-2.485,7,-3.699,7,-2.643,7,-0.67
8,-1.485,8,-3.388,8,-1.63,8,-1.066,8,-2.357,8,-3.686,8,-2.76,8,-0.429
9,-1.421,9,-3.379,9,-1.695,9,-1.079,9,-2.249,9,-3.679,9,-2.822,9,-0.613
10,-1.368,10,-3.295,10,-1.839,10,-1.093,10,-2.113,10,-3.649,10,-2.927,10,-0.793
11,-1.247,11,-3.18,11,-1.903,11,-1.078,11,-2.035,11,-3.624,11,-2.99,11,-0.76
12,-1.239,12,-3.1,12,-1.946,12,-1.119,12,-1.868,12,-3.592,12,-3.012,12,-0.852
13,-1.22,13,-3.051,13,-2.105,13,-1.079,13,-1.89,13,-3.572,13,-3.105,13,-0.795
14,-1.196,14,-2.872,14,-2.167,14,-1.082,14,-1.803,14,-3.512,14,-3.133,14,-0.814
15,-1.188,15,-2.8,15,-2.238,15,-1.084,15,-1.656,15,-3.476,15,-3.182,15,-0.751
16,-1.169,16,-2.609,16,-2.293,16,-1.075,16,-1.496,16,-3.38,16,-3.232,16,-0.615
17,-1.139,17,-2.477,17,-2.407,17,-1.12,17,-1.488,17,-3.333,17,-3.282,17,-0.739
18,-1.122,18,-2.357,18,-2.429,18,-1.105,18,-1.437,18,-3.274,18,-3.286,18,-0.912
19,-1.107,19,-2.244,19,-2.484,19,-1.081,19,-1.364,19,-3.197,19,-3.313,19,-0.647
20,-1.099,20,-1.988,20,-2.516,20,-1.081,20,-1.357,20,-3.092,20,-3.354,20,-0.895
21,-1.096,21,-1.885,21,-2.591,21,-1.105,21,-1.341,21,-2.978,21,-3.38,21,-0.918
22,-1.072,22,-1.735,22,-2.674,22,-1.084,22,-1.2,22,-2.896,22,-3.407,22,-0.989
23,-1.058,23,-1.593,23,-2.725,23,-1.148,23,-1.097,23,-2.806,23,-3.428,23,-1.14
24,-1.057,24,-1.467,24,-2.803,24,-1.138,24,-1.096,24,-2.629,24,-3.461,24,-1.248
25,-1.072,25,-1.389,25,-2.843,25,-1.093,25,-1.039,25,-2.559,25,-3.48,25,-1.001
26,-1.074,26,-1.345,26,-2.905,26,-1.137,26,-1.08,26,-2.474,26,-3.495,26,-0.985
27,-1.038,27,-1.266,27,-2.89,27,-1.093,27,-1.087,27,-2.392,27,-3.494,27,-0.934
28,-1.055,28,-1.242,28,-2.976,28,-1.109,28,-1.1,28,-2.316,28,-3.527,28,-1.05
29,-1.039,29,-1.23,29,-2.999,29,-1.117,29,-1.052,29,-2.247,29,-3.532,29,-1.059
30,-1.055,30,-1.178,30,-3.048,30,-1.148,30,-1.097,30,-2.189,30,-3.544,30,-1.063
31,-1.061,31,-1.137,31,-3.1,31,-1.201,31,-1.049,31,-2.074,31,-3.556,31,-1.351
32,-1.047,32,-1.091,32,-3.092,32,-1.18,32,-1.063,32,-2.075,32,-3.552,32,-1.209
33,-1.038,33,-1.145,33,-3.129,33,-1.142,33,-0.967,33,-2.045,33,-3.569,33,-1.159
34,-1.044,34,-1.115,34,-3.165,34,-1.114,34,-0.926,34,-1.938,34,-3.583,34,-1.144
35,-1.049,35,-1.107,35,-3.162,35,-1.244,35,-0.9,35,-1.888,35,-3.581,35,-1.508
36,-1.07,36,-1.075,36,-3.206,36,-1.122,36,-0.885,36,-1.864,36,-3.589,36,-1.169
37,-1.06,37,-1.087,37,-3.241,37,-1.161,37,-0.732,37,-1.831,37,-3.602,37,-1.196
38,-1.069,38,-1.036,38,-3.249,38,-1.165,38,-0.771,38,-1.664,38,-3.599,38,-1.221
39,-1.061,39,-1.05,39,-3.279,39,-1.133,39,-0.691,39,-1.672,39,-3.61,39,-1.177
40,-1.051,40,-1.069,40,-3.279,40,-1.125,40,-0.702,40,-1.684,40,-3.614,40,-1.267
41,-1.054,41,-1.081,41,-3.303,41,-1.143,41,-0.68,41,-1.638,41,-3.617,41,-1.226
42,-1.043,42,-1.063,42,-3.315,42,-1.182,42,-0.715,42,-1.511,42,-3.621,42,-1.379
43,-1.077,43,-1.051,43,-3.313,43,-1.135,43,-0.849,43,-1.481,43,-3.622,43,-1.217
44,-1.071,44,-1.077,44,-3.334,44,-1.161,44,-0.745,44,-1.494,44,-3.626,44,-1.173
45,-1.046,45,-1.056,45,-3.331,45,-1.147,45,-0.618,45,-1.493,45,-3.626,45,-1.249
46,-1.05,46,-1.036,46,-3.342,46,-1.125,46,-0.718,46,-1.345,46,-3.629,46,-1.339
47,-1.07,47,-1.068,47,-3.349,47,-1.192,47,-0.556,47,-1.337,47,-3.632,47,-1.429
48,-1.037,48,-1.054,48,-3.367,48,-1.141,48,-0.549,48,-1.276,48,-3.637,48,-1.363
