Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score
1,-1.4377,1,-3.2967,1,-1.5742,1,-1.6118,1,-1.8052,1,-3.302,1,-1.7088,1,-0.85848
2,-1.4106,2,-3.2807,2,-1.8681,2,-1.6485,2,-1.5893,2,-3.2843,2,-1.9752,2,-1.0215
3,-1.4814,3,-3.2784,3,-1.9088,3,-1.6704,3,-1.6793,3,-3.2855,3,-2.1795,3,-1.131
4,-1.4775,4,-3.263,4,-2.0172,4,-1.548,4,-1.7812,4,-3.2701,4,-2.1772,4,-0.88972
5,-1.5009,5,-3.2187,5,-2.0474,5,-1.6048,5,-1.9142,5,-3.2163,5,-2.3202,5,-1.0374
6,-1.5787,6,-3.228,6,-2.1543,6,-1.6535,6,-1.876,6,-3.2206,6,-2.3753,6,-1.2716
7,-1.6182,7,-3.189,7,-2.1104,7,-1.6464,7,-1.9271,7,-3.1961,7,-2.3899,7,-1.2581
8,-1.5637,8,-3.1804,8,-2.252,8,-1.6525,8,-1.8174,8,-3.1785,8,-2.5003,8,-1.3148
9,-1.5402,9,-3.1498,9,-2.3183,9,-1.669,9,-1.8172,9,-3.1588,9,-2.5036,9,-1.3706
10,-1.6848,10,-3.1039,10,-2.4484,10,-1.6716,10,-1.8957,10,-3.1297,10,-2.5951,10,-1.2721
11,-1.7075,11,-3.03,11,-2.462,11,-1.8408,11,-1.8733,11,-3.0508,11,-2.6407,11,-1.5379
12,-1.5488,12,-3.0386,12,-2.5084,12,-1.6272,12,-1.5962,12,-3.0387,12,-2.6417,12,-1.5356
13,-1.6081,13,-2.9882,13,-2.6047,13,-1.6128,13,-1.6325,13,-2.9764,13,-2.7107,13,-1.3561
14,-1.5491,14,-2.8898,14,-2.64,14,-1.6313,14,-1.7942,14,-2.914,14,-2.7514,14,-1.5463
15,-1.576,15,-2.8183,15,-2.6636,15,-1.726,15,-1.7033,15,-2.8686,15,-2.7984,15,-1.4591
16,-1.5512,16,-2.7698,16,-2.706,16,-1.7852,16,-1.4129,16,-2.8122,16,-2.8411,16,-1.6062
17,-1.5734,17,-2.6379,17,-2.7436,17,-1.8256,17,-1.5884,17,-2.7556,17,-2.888,17,-1.3981
18,-1.6434,18,-2.6485,18,-2.7472,18,-1.7574,18,-1.497,18,-2.7326,18,-2.8578,18,-1.3599
19,-1.7274,19,-2.557,19,-2.7781,19,-1.7364,19,-1.5996,19,-2.7913,19,-2.8952,19,-1.6458
20,-1.6641,20,-2.3501,20,-2.7997,20,-1.9922,20,-1.6796,20,-2.5495,20,-2.885,20,-1.845
21,-1.665,21,-2.3308,21,-2.8522,21,-1.75,21,-1.5787,21,-2.4869,21,-2.9081,21,-1.611
22,-1.6414,22,-2.258,22,-2.8618,22,-1.8285,22,-1.5832,22,-2.449,22,-2.9541,22,-1.7014
23,-1.6113,23,-2.1387,23,-2.8785,23,-1.7619,23,-1.5595,23,-2.3899,23,-2.9549,23,-1.6603
24,-1.6297,24,-2.1092,24,-2.8672,24,-1.8063,24,-1.4403,24,-2.2992,24,-2.9625,24,-1.5987
25,-1.6871,25,-1.9924,25,-2.9093,25,-1.7304,25,-1.3526,25,-2.2529,25,-2.9876,25,-1.6028
26,-1.7054,26,-2.1594,26,-2.9112,26,-1.8331,26,-1.5111,26,-2.2739,26,-3.015,26,-1.7361
27,-1.6386,27,-1.8661,27,-2.9509,27,-1.7972,27,-1.3763,27,-2.1491,27,-3.016,27,-1.5654
28,-1.703,28,-1.7926,28,-2.9758,28,-1.8576,28,-1.4175,28,-2.1681,28,-3.0321,28,-1.6784
29,-1.7033,29,-1.7703,29,-2.973,29,-1.9279,29,-1.4285,29,-2.179,29,-3.0234,29,-1.9512
30,-1.6348,30,-1.8251,30,-2.9881,30,-1.986,30,-1.4901,30,-2.1255,30,-3.0498,30,-1.9039
31,-1.6576,31,-1.8405,31,-3.0347,31,-1.8976,31,-1.5071,31,-2.0816,31,-3.0689,31,-1.6265
32,-1.5884,32,-1.7544,32,-3.0221,32,-1.8576,32,-1.3747,32,-2.0744,32,-3.04,32,-1.9016
33,-1.6332,33,-1.6648,33,-3.028,33,-1.8704,33,-1.4371,33,-2.0205,33,-3.0558,33,-1.8619
34,-1.6282,34,-1.7196,34,-3.0497,34,-1.9657,34,-1.5455,34,-1.9351,34,-3.0804,34,-1.9457
35,-1.6524,35,-1.6965,35,-3.0446,35,-1.6879,35,-1.3499,35,-1.9226,35,-3.081,35,-1.6213
36,-1.6206,36,-1.6395,36,-3.063,36,-1.9828,36,-1.4374,36,-1.8518,36,-3.0973,36,-2.0159
37,-1.6415,37,-1.7375,37,-3.0756,37,-1.8703,37,-1.1013,37,-1.9705,37,-3.1076,37,-1.7568
38,-1.6437,38,-1.6291,38,-3.0957,38,-1.9811,38,-1.2954,38,-1.8054,38,-3.1222,38,-2.0288
39,-1.6424,39,-1.673,39,-3.0906,39,-1.9313,39,-1.0902,39,-1.8326,39,-3.1381,39,-1.9299
40,-1.6688,40,-1.5313,40,-3.1143,40,-1.8733,40,-1.1746,40,-1.738,40,-3.1541,40,-1.9039
41,-1.6184,41,-1.6638,41,-3.1171,41,-1.9158,41,-1.2468,41,-1.867,41,-3.154,41,-1.9344
42,-1.6409,42,-1.5604,42,-3.1301,42,-2.0615,42,-1.2078,42,-1.8443,42,-3.1584,42,-2.1662
43,-1.6734,43,-1.5003,43,-3.1341,43,-1.9149,43,-1.4056,43,-1.6771,43,-3.1581,43,-1.7752
44,-1.6427,44,-1.6681,44,-3.1244,44,-2.0456,44,-1.2565,44,-1.6318,44,-3.1477,44,-2.059
45,-1.6143,45,-1.572,45,-3.1298,45,-1.9942,45,-1.2119,45,-1.7309,45,-3.1356,45,-1.9442
46,-1.7142,46,-1.639,46,-3.1214,46,-1.9517,46,-1.2819,46,-1.6443,46,-3.1646,46,-1.9692
47,-1.7133,47,-1.6183,47,-3.1451,47,-1.9175,47,-1.1189,47,-1.7307,47,-3.1641,47,-1.9494
48,-1.7105,48,-1.6113,48,-3.1482,48,-1.9254,48,-1.1468,48,-1.6067,48,-3.1623,48,-2.1082
49,-1.7261,49,-1.6295,49,-3.1401,49,-2.0283,49,-1.1622,49,-1.4518,49,-3.1681,49,-2.1124
50,-1.6823,50,-1.5992,50,-3.1577,50,-2.048,50,-1.2309,50,-1.4425,50,-3.1733,50,-2.0349
51,-1.7055,51,-1.6104,51,-3.1679,51,-1.9347,51,-1.2338,51,-1.4873,51,-3.1814,51,-1.8957
52,-1.7206,52,-1.6807,52,-3.1644,52,-2.0811,52,-1.113,52,-1.428,52,-3.1803,52,-2.0189
53,-1.6576,53,-1.6189,53,-3.175,53,-2.0011,53,-1.0604,53,-1.3959,53,-3.2015,53,-1.9906
54,-1.6769,54,-1.5896,54,-3.1756,54,-2.0542,54,-1.0535,54,-1.4267,54,-3.1914,54,-2.1332
55,-1.6378,55,-1.5509,55,-3.1922,55,-2.0087,55,-1.0779,55,-1.1804,55,-3.1961,55,-1.9485
56,-1.6205,56,-1.6337,56,-3.1898,56,-1.9092,56,-1.2529,56,-1.3694,56,-3.2031,56,-1.9814
57,-1.5929,57,-1.5771,57,-3.1935,57,-2.0869,57,-1.1909,57,-1.4009,57,-3.198,57,-2.0619
58,-1.6628,58,-1.7257,58,-3.1871,58,-1.9476,58,-1.256,58,-1.2362,58,-3.2053,58,-1.9551
