Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-0.81,1,-2.77,1,-0.7,1,-0.68,1,-0.53,1,-2.68,1,-0.41,1,-0.3
2,-0.79,2,-2.67,2,-0.7,2,-0.68,2,-0.51,2,-2.59,2,-0.43,2,-0.3
3,-0.78,3,-2.64,3,-0.72,3,-0.68,3,-0.51,3,-2.55,3,-0.43,3,-0.31
4,-0.76,4,-2.49,4,-0.72,4,-0.68,4,-0.51,4,-2.41,4,-0.46,4,-0.3
5,-0.76,5,-2.43,5,-0.73,5,-0.69,5,-0.49,5,-2.34,5,-0.46,5,-0.31
6,-0.76,6,-2.27,6,-0.72,6,-0.68,6,-0.5,6,-2.2,6,-0.48,6,-0.31
7,-0.74,7,-2.12,7,-0.74,7,-0.68,7,-0.48,7,-2.04,7,-0.47,7,-0.32
8,-0.75,8,-2.07,8,-0.75,8,-0.68,8,-0.45,8,-1.95,8,-0.48,8,-0.32
9,-0.73,9,-1.93,9,-0.76,9,-0.68,9,-0.45,9,-1.85,9,-0.51,9,-0.32
10,-0.71,10,-1.73,10,-0.76,10,-0.69,10,-0.43,10,-1.63,10,-0.51,10,-0.33
11,-0.71,11,-1.65,11,-0.76,11,-0.7,11,-0.43,11,-1.54,11,-0.52,11,-0.35
12,-0.7,12,-1.55,12,-0.78,12,-0.68,12,-0.41,12,-1.46,12,-0.56,12,-0.33
13,-0.7,13,-1.43,13,-0.8,13,-0.7,13,-0.41,13,-1.34,13,-0.57,13,-0.33
14,-0.71,14,-1.29,14,-0.81,14,-0.7,14,-0.41,14,-1.18,14,-0.58,14,-0.36
15,-0.7,15,-1.24,15,-0.8,15,-0.69,15,-0.39,15,-1.08,15,-0.57,15,-0.34
16,-0.7,16,-1.1,16,-0.81,16,-0.69,16,-0.39,16,-0.97,16,-0.6,16,-0.35
