Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-3.601,1,-3.612,1,-1.12,1,-1.016,1,-3.597,1,-3.612,1,-0.567,1,0.21
2,-3.561,2,-3.612,2,-1.357,2,-0.811,2,-3.54,2,-3.612,2,-0.955,2,0.21
3,-3.368,3,-3.612,3,-1.64,3,-1.411,3,-3.238,3,-3.612,3,-1.355,3,0.139
4,-2.672,4,-3.609,4,-1.785,4,-2.362,4,-2.302,4,-3.606,4,-1.486,4,0.194
5,-1.786,5,-2.826,5,-2.044,5,-0.614,5,-1.368,5,-2.38,5,-1.767,5,0.206
6,-1.411,6,-0.378,6,-2.244,6,-0.917,6,-1.016,6,-0.318,6,-1.982,6,0.208
7,-1.365,7,-0.148,7,-2.407,7,-1.156,7,-0.917,7,-0.149,7,-2.087,7,0.206
8,-1.346,8,-0.145,8,-2.565,8,-1.044,8,-0.835,8,-0.147,8,-2.243,8,0.204
9,-1.317,9,-0.157,9,-2.618,9,-1.576,9,-0.706,9,-0.178,9,-2.337,9,0.193
10,-1.217,10,-0.28,10,-2.711,10,-1.414,10,-0.537,10,-0.458,10,-2.386,10,0.198
11,-1.239,11,-1.165,11,-2.604,11,-1.537,11,-0.446,11,-2.086,11,-2.384,11,0.201
12,-1.248,12,-2.987,12,-2.522,12,-0.55,12,-0.428,12,-3.508,12,-2.366,12,0.198
13,-1.272,13,-3.698,13,-2.599,13,-1.047,13,-0.4,13,-3.815,13,-2.483,13,0.202
14,-1.317,14,-3.831,14,-2.657,14,-2.047,14,-0.381,14,-3.872,14,-2.584,14,0.176
15,-1.321,15,-3.877,15,-2.694,15,-0.447,15,-0.385,15,-3.893,15,-2.653,15,0.199
16,-1.32,16,-3.881,16,-2.729,16,-2.755,16,-0.4,16,-3.89,16,-2.764,16,0.153
17,-1.3,17,-3.882,17,-2.68,17,-1.027,17,-0.403,17,-3.89,17,-2.782,17,0.163
18,-1.269,18,-3.874,18,-2.748,18,-0.965,18,-0.308,18,-3.878,18,-2.849,18,0.11
19,-1.218,19,-3.866,19,-2.802,19,-1.492,19,-0.347,19,-3.87,19,-2.928,19,0.063
20,-1.187,20,-3.86,20,-2.843,20,-0.997,20,-0.315,20,-3.866,20,-2.994,20,0.107
21,-1.129,21,-3.83,21,-2.819,21,-1.296,21,-0.283,21,-3.837,21,-3.02,21,0.129
22,-1.075,22,-3.794,22,-2.837,22,-1.468,22,-0.226,22,-3.802,22,-3.058,22,0.153
23,-1.051,23,-3.778,23,-2.894,23,-1.424,23,-0.203,23,-3.789,23,-3.122,23,-0.012
24,-1.005,24,-3.745,24,-2.842,24,-0.986,24,-0.21,24,-3.751,24,-3.121,24,0.019
25,-0.98,25,-3.726,25,-2.871,25,-1.144,25,-0.178,25,-3.735,25,-3.15,25,0.041
26,-0.981,26,-3.74,26,-2.902,26,-1.228,26,-0.149,26,-3.746,26,-3.18,26,0.047
27,-0.967,27,-3.739,27,-2.884,27,-0.789,27,-0.132,27,-3.738,27,-3.184,27,0.085
28,-0.96,28,-3.708,28,-2.867,28,-1.108,28,-0.134,28,-3.695,28,-3.188,28,0.085
29,-0.96,29,-3.872,29,-2.848,29,-0.95,29,-0.119,29,-3.859,29,-3.189,29,0.086
30,-0.944,30,-3.884,30,-2.798,30,-1.153,30,-0.106,30,-3.874,30,-3.16,30,0.002
31,-0.942,31,-3.898,31,-2.823,31,-1.448,31,-0.102,31,-3.88,31,-3.169,31,0.102
32,-0.928,32,-3.893,32,-2.849,32,-1.398,32,-0.092,32,-3.866,32,-3.189,32,-0.008
33,-0.938,33,-3.879,33,-2.83,33,-1.033,33,-0.083,33,-3.85,33,-3.186,33,-0.11
34,-0.93,34,-3.861,34,-2.805,34,-1.623,34,-0.057,34,-3.827,34,-3.171,34,-0.134
35,-0.921,35,-3.848,35,-2.758,35,-1.695,35,-0.065,35,-3.821,35,-3.152,35,-0.035
36,-0.939,36,-3.798,36,-2.808,36,-1.589,36,-0.047,36,-3.768,36,-3.189,36,-0.323
37,-0.937,37,-3.758,37,-2.787,37,-1.573,37,-0.04,37,-3.724,37,-3.17,37,-0.42
38,-0.935,38,-3.686,38,-2.709,38,-1.469,38,-0.046,38,-3.654,38,-3.126,38,-0.298
39,-0.936,39,-3.595,39,-2.704,39,-1.576,39,-0.036,39,-3.556,39,-3.129,39,-0.279
40,-0.938,40,-3.448,40,-2.701,40,-1.263,40,-0.029,40,-3.411,40,-3.138,40,-0.143
41,-0.924,41,-3.361,41,-2.678,41,-1.319,41,-0.027,41,-3.308,41,-3.122,41,-0.275
42,-0.925,42,-3.211,42,-2.623,42,-1.467,42,-0.017,42,-3.159,42,-3.087,42,-0.186
43,-0.927,43,-3.082,43,-2.572,43,-1.773,43,-0.018,43,-3.057,43,-3.047,43,-0.463
44,-0.93,44,-2.865,44,-2.528,44,-1.41,44,-0.008,44,-2.802,44,-3.027,44,-0.256
45,-0.943,45,-2.689,45,-2.487,45,-1.543,45,-0.006,45,-2.627,45,-3.009,45,-0.524
46,-0.929,46,-2.44,46,-2.389,46,-1.452,46,0.004,46,-2.348,46,-2.951,46,-0.45
47,-0.939,47,-2.199,47,-2.37,47,-1.366,47,0.009,47,-2.19,47,-2.922,47,-0.363
48,-0.934,48,-2.044,48,-2.299,48,-1.626,48,-0.0,48,-1.875,48,-2.881,48,-0.703
49,-0.927,49,-1.955,49,-2.262,49,-1.513,49,0.003,49,-1.734,49,-2.847,49,-0.541
50,-0.931,50,-1.718,50,-2.185,50,-1.582,50,0.011,50,-1.539,50,-2.793,50,-0.301
51,-0.936,51,-1.545,51,-2.092,51,-1.695,51,0.011,51,-1.313,51,-2.722,51,-0.695
52,-0.937,52,-1.502,52,-2.022,52,-1.663,52,0.011,52,-1.256,52,-2.662,52,-0.453
53,-0.933,53,-1.428,53,-1.996,53,-1.518,53,0.018,53,-1.064,53,-2.646,53,-0.606
54,-0.941,54,-1.297,54,-1.853,54,-1.672,54,0.013,54,-1.031,54,-2.516,54,-0.736
