Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score
1,-2.2469,1,-3.3926,1,-0.98115,1,-0.74191,1,-2.1274,1,-3.3904,1,-0.98944,1,-0.03516
2,-2.133,2,-3.3946,2,-1.6399,2,-0.75909,2,-2.0227,2,-3.3956,2,-1.5307,2,-0.43005
3,-1.9749,3,-3.3916,3,-1.9067,3,-0.75134,3,-1.8201,3,-3.3925,3,-1.9126,3,-0.41039
4,-1.764,4,-3.3891,4,-2.032,4,-0.96126,4,-1.7011,4,-3.3889,4,-2.0888,4,-0.57809
5,-1.6639,5,-3.3902,5,-2.4081,5,-0.86488,5,-1.5838,5,-3.3919,5,-2.4203,5,-0.38206
6,-1.5562,6,-3.3907,6,-2.4783,6,-0.78544,6,-1.4816,6,-3.3906,6,-2.6248,6,-0.4187
7,-1.4618,7,-3.3864,7,-2.5857,7,-0.8462,7,-1.2279,7,-3.3849,7,-2.6372,7,-0.46857
8,-1.2372,8,-3.3819,8,-2.6386,8,-0.85349,8,-1.258,8,-3.3792,8,-2.6443,8,-0.47809
9,-1.1692,9,-3.3831,9,-2.7418,9,-1.0901,9,-1.0759,9,-3.3806,9,-2.7392,9,-0.85642
10,-1.166,10,-3.3864,10,-2.743,10,-0.89816,10,-0.93635,10,-3.3866,10,-2.7507,10,-0.61843
11,-1.0649,11,-3.3824,11,-2.8045,11,-1.0982,11,-0.90587,11,-3.3794,11,-2.8263,11,-0.81371
12,-0.96193,12,-3.3828,12,-2.8643,12,-1.3993,12,-0.86135,12,-3.3793,12,-2.8883,12,-1.2794
13,-0.9227,13,-3.3735,13,-2.9178,13,-1.2554,13,-0.78223,13,-3.3722,13,-2.9307,13,-0.94647
14,-0.92487,14,-3.373,14,-2.9557,14,-1.1244,14,-0.82049,14,-3.3723,14,-2.9551,14,-0.74046
15,-0.89655,15,-3.3683,15,-2.9679,15,-1.2745,15,-0.70811,15,-3.3692,15,-2.9689,15,-0.85289
16,-0.90711,16,-3.3665,16,-2.983,16,-1.4954,16,-0.73806,16,-3.366,16,-2.9919,16,-1.315
17,-0.80461,17,-3.3653,17,-3.0188,17,-1.4068,17,-0.61797,17,-3.3621,17,-3.0188,17,-1.3477
18,-0.80423,18,-3.3569,18,-3.0266,18,-2.3445,18,-0.612,18,-3.3545,18,-3.0269,18,-2.257
19,-0.79982,19,-3.3582,19,-3.0166,19,-2.363,19,-0.63055,19,-3.354,19,-3.0379,19,-2.3075
20,-0.74058,20,-3.3425,20,-3.042,20,-1.4599,20,-0.63647,20,-3.3437,20,-3.0554,20,-1.1942
21,-0.74889,21,-3.3385,21,-3.0786,21,-2.2657,21,-0.57732,21,-3.3436,21,-3.1037,21,-2.1035
22,-0.73024,22,-3.3341,22,-3.0872,22,-1.7703,22,-0.47532,22,-3.3319,22,-3.0844,22,-1.4695
23,-0.75342,23,-3.3277,23,-3.0841,23,-2.4435,23,-0.51106,23,-3.3264,23,-3.0848,23,-2.3594
24,-0.76983,24,-3.3193,24,-3.0961,24,-2.1181,24,-0.52493,24,-3.3153,24,-3.0942,24,-2.0633
25,-0.74904,25,-3.3121,25,-3.1042,25,-2.4092,25,-0.4872,25,-3.3166,25,-3.1148,25,-2.2748
26,-0.7509,26,-3.307,26,-3.1218,26,-2.1796,26,-0.51796,26,-3.3047,26,-3.1148,26,-2.2168
