Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-3.139,1,-3.612,1,-0.889,1,-0.971,1,-2.859,1,-3.611,1,-0.59,1,0.166
2,-2.976,2,-3.608,2,-1.134,2,-1.11,2,-2.277,2,-3.603,2,-1.027,2,0.139
3,-2.753,3,-3.564,3,-1.36,3,-1.086,3,-2.04,3,-3.509,3,-1.348,3,0.188
4,-2.489,4,-1.938,4,-1.678,4,-1.135,4,-1.794,4,-2.205,4,-1.759,4,0.083
5,-2.176,5,-2.496,5,-1.961,5,-1.085,5,-1.575,5,-3.507,5,-2.111,5,0.044
6,-1.928,6,-3.488,6,-2.146,6,-0.933,6,-1.413,6,-3.627,6,-2.311,6,0.068
7,-1.714,7,-3.53,7,-2.337,7,-1.988,7,-1.21,7,-3.54,7,-2.542,7,-0.01
8,-1.542,8,-3.42,8,-2.469,8,-1.73,8,-1.065,8,-3.37,8,-2.631,8,0.025
9,-1.404,9,-3.271,9,-2.752,9,-1.373,9,-0.954,9,-3.232,9,-2.917,9,0.028
10,-1.291,10,-3.15,10,-2.894,10,-1.16,10,-0.841,10,-3.128,10,-3.042,10,0.076
11,-1.202,11,-3.058,11,-2.964,11,-1.521,11,-0.709,11,-2.996,11,-3.068,11,0.111
12,-1.13,12,-2.9,12,-3.106,12,-1.979,12,-0.628,12,-2.91,12,-3.185,12,0.1
13,-1.061,13,-2.787,13,-3.127,13,-1.985,13,-0.575,13,-2.827,13,-3.204,13,-0.088
14,-0.978,14,-2.748,14,-3.271,14,-2.193,14,-0.494,14,-2.785,14,-3.337,14,-0.209
15,-0.907,15,-2.742,15,-3.325,15,-2.87,15,-0.394,15,-2.813,15,-3.386,15,-0.409
16,-0.888,16,-2.606,16,-3.363,16,-2.593,16,-0.342,16,-2.663,16,-3.426,16,-0.229
17,-0.868,17,-2.852,17,-3.449,17,-1.859,17,-0.313,17,-2.949,17,-3.512,17,0.064
18,-0.83,18,-2.869,18,-3.486,18,-2.606,18,-0.267,18,-2.864,18,-3.532,18,-0.424
19,-0.821,19,-3.172,19,-3.455,19,-1.478,19,-0.22,19,-3.245,19,-3.493,19,-0.004
20,-0.793,20,-3.13,20,-3.541,20,-1.242,20,-0.214,20,-3.19,20,-3.568,20,0.073
21,-0.771,21,-3.329,21,-3.507,21,-2.359,21,-0.184,21,-3.42,21,-3.539,21,-0.44
22,-0.761,22,-3.647,22,-3.591,22,-1.967,22,-0.165,22,-3.676,22,-3.636,22,-0.186
23,-0.748,23,-3.559,23,-3.638,23,-2.234,23,-0.122,23,-3.558,23,-3.671,23,-0.382
24,-0.741,24,-3.728,24,-3.656,24,-2.029,24,-0.11,24,-3.736,24,-3.682,24,-0.205
25,-0.731,25,-3.751,25,-3.633,25,-2.147,25,-0.103,25,-3.77,25,-3.671,25,-0.303
26,-0.737,26,-3.713,26,-3.661,26,-1.925,26,-0.06,26,-3.728,26,-3.686,26,-0.397
27,-0.725,27,-3.673,27,-3.605,27,-1.998,27,-0.065,27,-3.694,27,-3.611,27,-0.277
28,-0.722,28,-3.73,28,-3.594,28,-1.741,28,-0.065,28,-3.763,28,-3.623,28,-0.427
29,-0.724,29,-3.642,29,-3.672,29,-2.375,29,-0.046,29,-3.682,29,-3.687,29,-0.301
30,-0.718,30,-3.608,30,-3.63,30,-3.016,30,-0.052,30,-3.662,30,-3.638,30,-1.546
31,-0.721,31,-3.565,31,-3.638,31,-3.189,31,-0.049,31,-3.615,31,-3.662,31,-1.28
32,-0.728,32,-3.507,32,-3.648,32,-2.425,32,-0.032,32,-3.58,32,-3.669,32,-1.038
33,-0.721,33,-3.308,33,-3.655,33,-2.442,33,-0.035,33,-3.398,33,-3.694,33,-0.524
34,-0.717,34,-3.214,34,-3.599,34,-3.161,34,-0.023,34,-3.325,34,-3.647,34,-1.161
35,-0.718,35,-3.114,35,-3.616,35,-2.95,35,-0.012,35,-3.269,35,-3.664,35,-1.393
36,-0.715,36,-2.836,36,-3.659,36,-2.45,36,-0.007,36,-3.035,36,-3.705,36,-0.936
37,-0.712,37,-2.72,37,-3.583,37,-2.422,37,-0.016,37,-2.896,37,-3.66,37,-0.793
38,-0.72,38,-2.547,38,-3.558,38,-3.042,38,-0.01,38,-2.798,38,-3.624,38,-1.62
39,-0.723,39,-2.293,39,-3.557,39,-3.245,39,-0.003,39,-2.511,39,-3.629,39,-1.838
40,-0.715,40,-2.075,40,-3.58,40,-2.966,40,-0.002,40,-2.298,40,-3.648,40,-1.77
41,-0.718,41,-1.89,41,-3.555,41,-2.587,41,0.006,41,-2.087,41,-3.644,41,-0.728
42,-0.724,42,-1.737,42,-3.599,42,-2.703,42,0.003,42,-1.942,42,-3.68,42,-1.4
43,-0.706,43,-1.442,43,-3.578,43,-3.018,43,0.013,43,-1.577,43,-3.669,43,-1.98
44,-0.712,44,-1.308,44,-3.571,44,-3.467,44,0.011,44,-1.396,44,-3.666,44,-2.668
45,-0.713,45,-1.146,45,-3.556,45,-2.909,45,0.007,45,-1.174,45,-3.669,45,-1.672
46,-0.715,46,-0.994,46,-3.559,46,-2.806,46,0.013,46,-0.96,46,-3.676,46,-1.252
47,-0.7,47,-0.968,47,-3.579,47,-2.875,47,0.013,47,-0.85,47,-3.705,47,-1.463
48,-0.713,48,-0.939,48,-3.587,48,-3.543,48,0.013,48,-0.807,48,-3.711,48,-2.839
49,-0.703,49,-0.881,49,-3.574,49,-3.013,49,0.018,49,-0.742,49,-3.705,49,-1.959
50,-0.713,50,-0.834,50,-3.522,50,-2.683,50,0.011,50,-0.59,50,-3.67,50,-1.342
51,-0.707,51,-0.845,51,-3.569,51,-2.994,51,0.025,51,-0.575,51,-3.709,51,-1.593
