Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-1.827,1,-3.848,1,-0.902,1,-0.676,1,-2.735,1,-3.894,1,-1.903,1,-0.24
2,-1.708,2,-3.845,2,-1.158,2,-0.748,2,-2.293,2,-3.893,2,-2.484,2,-0.551
3,-1.588,3,-3.846,3,-1.411,3,-0.682,3,-2.437,3,-3.894,3,-2.853,3,-0.36
4,-1.486,4,-3.843,4,-1.647,4,-0.781,4,-2.453,4,-3.893,4,-3.028,4,-0.498
5,-1.399,5,-3.845,5,-1.853,5,-0.746,5,-2.407,5,-3.894,5,-3.192,5,-0.544
6,-1.324,6,-3.846,6,-2.03,6,-1.501,6,-2.326,6,-3.895,6,-3.301,6,-1.806
7,-1.238,7,-3.847,7,-2.155,7,-0.785,7,-2.197,7,-3.895,7,-3.396,7,-0.731
8,-1.165,8,-3.843,8,-2.291,8,-1.194,8,-2.108,8,-3.895,8,-3.425,8,-1.593
9,-1.103,9,-3.844,9,-2.482,9,-0.888,9,-2.008,9,-3.895,9,-3.488,9,-1.016
10,-1.061,10,-3.839,10,-2.591,10,-1.864,10,-1.895,10,-3.894,10,-3.52,10,-2.369
11,-1.016,11,-3.835,11,-2.624,11,-2.023,11,-1.726,11,-3.893,11,-3.545,11,-2.517
12,-0.998,12,-3.828,12,-2.747,12,-2.124,12,-1.673,12,-3.892,12,-3.575,12,-2.794
13,-0.941,13,-3.824,13,-2.853,13,-1.709,13,-1.589,13,-3.892,13,-3.607,13,-2.237
14,-0.92,14,-3.814,14,-2.909,14,-1.518,14,-1.509,14,-3.89,14,-3.629,14,-2.156
15,-0.855,15,-3.805,15,-2.969,15,-1.423,15,-1.355,15,-3.889,15,-3.643,15,-1.934
16,-0.847,16,-3.796,16,-3.017,16,-1.62,16,-1.21,16,-3.886,16,-3.661,16,-2.16
17,-0.864,17,-3.783,17,-3.085,17,-2.325,17,-1.195,17,-3.883,17,-3.676,17,-2.859
18,-0.809,18,-3.77,18,-3.111,18,-2.507,18,-1.055,18,-3.881,18,-3.688,18,-3.097
19,-0.786,19,-3.755,19,-3.161,19,-2.428,19,-0.968,19,-3.878,19,-3.709,19,-3.105
20,-0.755,20,-3.717,20,-3.224,20,-2.152,20,-0.923,20,-3.873,20,-3.721,20,-2.915
21,-0.737,21,-3.702,21,-3.232,21,-2.832,21,-0.868,21,-3.868,21,-3.728,21,-3.323
22,-0.729,22,-3.675,22,-3.282,22,-2.542,22,-0.78,22,-3.863,22,-3.74,22,-3.146
23,-0.717,23,-3.659,23,-3.312,23,-2.743,23,-0.671,23,-3.861,23,-3.747,23,-3.313
24,-0.716,24,-3.627,24,-3.342,24,-1.948,24,-0.649,24,-3.853,24,-3.747,24,-2.774
25,-0.705,25,-3.578,25,-3.366,25,-2.318,25,-0.611,25,-3.844,25,-3.754,25,-3.028
26,-0.692,26,-3.529,26,-3.39,26,-2.199,26,-0.474,26,-3.833,26,-3.758,26,-2.809
27,-0.685,27,-3.457,27,-3.408,27,-2.517,27,-0.519,27,-3.818,27,-3.766,27,-3.235
28,-0.687,28,-3.425,28,-3.417,28,-1.704,28,-0.533,28,-3.811,28,-3.768,28,-2.569
29,-0.681,29,-3.336,29,-3.446,29,-2.518,29,-0.436,29,-3.796,29,-3.777,29,-3.268
30,-0.673,30,-3.291,30,-3.471,30,-2.686,30,-0.498,30,-3.786,30,-3.78,30,-3.343
31,-0.677,31,-3.197,31,-3.466,31,-1.842,31,-0.504,31,-3.765,31,-3.782,31,-2.783
32,-0.665,32,-3.141,32,-3.479,32,-2.739,32,-0.416,32,-3.743,32,-3.786,32,-3.382
33,-0.665,33,-3.086,33,-3.487,33,-2.826,33,-0.429,33,-3.73,33,-3.785,33,-3.432
34,-0.665,34,-2.965,34,-3.51,34,-2.527,34,-0.379,34,-3.692,34,-3.791,34,-3.292
35,-0.672,35,-2.871,35,-3.535,35,-2.708,35,-0.348,35,-3.665,35,-3.793,35,-3.422
36,-0.673,36,-2.747,36,-3.527,36,-2.32,36,-0.312,36,-3.613,36,-3.796,36,-3.055
37,-0.68,37,-2.672,37,-3.529,37,-2.868,37,-0.385,37,-3.581,37,-3.796,37,-3.402
38,-0.662,38,-2.494,38,-3.559,38,-2.782,38,-0.382,38,-3.51,38,-3.803,38,-3.401
39,-0.663,39,-2.282,39,-3.551,39,-3.068,39,-0.336,39,-3.417,39,-3.802,39,-3.508
40,-0.653,40,-2.171,40,-3.54,40,-2.535,40,-0.321,40,-3.348,40,-3.8,40,-3.273
41,-0.659,41,-2.031,41,-3.538,41,-2.458,41,-0.265,41,-3.255,41,-3.801,41,-3.377
42,-0.663,42,-1.742,42,-3.546,42,-2.263,42,-0.33,42,-3.074,42,-3.803,42,-3.127
43,-0.636,43,-1.617,43,-3.554,43,-2.919,43,-0.255,43,-2.99,43,-3.805,43,-3.536
44,-0.632,44,-1.516,44,-3.556,44,-3.04,44,-0.268,44,-2.853,44,-3.805,44,-3.553
45,-0.653,45,-1.234,45,-3.564,45,-2.867,45,-0.306,45,-2.564,45,-3.806,45,-3.553
46,-0.648,46,-1.084,46,-3.563,46,-3.039,46,-0.251,46,-2.308,46,-3.808,46,-3.559
47,-0.654,47,-1.042,47,-3.572,47,-3.212,47,-0.29,47,-2.231,47,-3.809,47,-3.634
48,-0.654,48,-0.962,48,-3.57,48,-3.101,48,-0.272,48,-2.063,48,-3.809,48,-3.618
49,-0.666,49,-0.892,49,-3.574,49,-3.223,49,-0.264,49,-1.909,49,-3.812,49,-3.671
50,-0.65,50,-0.851,50,-3.568,50,-3.268,50,-0.269,50,-1.884,50,-3.809,50,-3.661
51,-0.639,51,-0.784,51,-3.569,51,-2.94,51,-0.191,51,-1.716,51,-3.811,51,-3.571
52,-0.645,52,-0.751,52,-3.581,52,-2.607,52,-0.289,52,-1.615,52,-3.814,52,-3.403
53,-0.654,53,-0.723,53,-3.582,53,-2.939,53,-0.248,53,-1.541,53,-3.813,53,-3.548
54,-0.651,54,-0.72,54,-3.589,54,-2.934,54,-0.24,54,-1.342,54,-3.816,54,-3.561
55,-0.64,55,-0.71,55,-3.597,55,-3.044,55,-0.176,55,-1.257,55,-3.817,55,-3.625
56,-0.642,56,-0.684,56,-3.597,56,-3.031,56,-0.205,56,-1.271,56,-3.816,56,-3.588
57,-0.65,57,-0.688,57,-3.582,57,-3.4,57,-0.271,57,-1.164,57,-3.816,57,-3.729
58,-0.644,58,-0.687,58,-3.599,58,-3.078,58,-0.208,58,-1.133,58,-3.818,58,-3.617
59,-0.656,59,-0.694,59,-3.599,59,-3.326,59,-0.239,59,-1.074,59,-3.82,59,-3.725
60,-0.637,60,-0.688,60,-3.598,60,-3.255,60,-0.219,60,-1.067,60,-3.822,60,-3.693
61,-0.657,61,-0.689,61,-3.602,61,-3.21,61,-0.228,61,-0.984,61,-3.823,61,-3.664
62,-0.655,62,-0.672,62,-3.62,62,-3.196,62,-0.219,62,-0.906,62,-3.822,62,-3.675
63,-0.67,63,-0.661,63,-3.625,63,-3.022,63,-0.195,63,-0.945,63,-3.825,63,-3.62
64,-0.648,64,-0.67,64,-3.631,64,-3.1,64,-0.202,64,-0.905,64,-3.826,64,-3.625
65,-0.658,65,-0.663,65,-3.628,65,-3.097,65,-0.197,65,-0.833,65,-3.826,65,-3.635
66,-0.666,66,-0.667,66,-3.62,66,-3.231,66,-0.223,66,-0.693,66,-3.823,66,-3.689
67,-0.652,67,-0.668,67,-3.631,67,-3.147,67,-0.151,67,-0.67,67,-3.826,67,-3.667
68,-0.642,68,-0.665,68,-3.639,68,-3.095,68,-0.2,68,-0.668,68,-3.828,68,-3.639
69,-0.673,69,-0.639,69,-3.641,69,-3.213,69,-0.161,69,-0.562,69,-3.827,69,-3.682
70,-0.67,70,-0.646,70,-3.641,70,-3.259,70,-0.223,70,-0.565,70,-3.83,70,-3.692
71,-0.653,71,-0.669,71,-3.632,71,-3.219,71,-0.192,71,-0.531,71,-3.829,71,-3.684
72,-0.651,72,-0.653,72,-3.635,72,-3.078,72,-0.226,72,-0.45,72,-3.825,72,-3.658
73,-0.672,73,-0.638,73,-3.64,73,-3.375,73,-0.209,73,-0.493,73,-3.829,73,-3.749
74,-0.662,74,-0.658,74,-3.62,74,-3.0,74,-0.152,74,-0.382,74,-3.826,74,-3.607
75,-0.655,75,-0.655,75,-3.614,75,-2.969,75,-0.186,75,-0.404,75,-3.827,75,-3.618
76,-0.662,76,-0.651,76,-3.614,76,-3.365,76,-0.173,76,-0.383,76,-3.828,76,-3.731
77,-0.662,77,-0.674,77,-3.644,77,-3.353,77,-0.201,77,-0.355,77,-3.829,77,-3.749
78,-0.666,78,-0.66,78,-3.648,78,-3.286,78,-0.184,78,-0.345,78,-3.833,78,-3.721
79,-0.662,79,-0.65,79,-3.637,79,-3.296,79,-0.145,79,-0.347,79,-3.83,79,-3.712
80,-0.649,80,-0.661,80,-3.636,80,-3.356,80,-0.151,80,-0.323,80,-3.828,80,-3.747
81,-0.655,81,-0.66,81,-3.635,81,-3.439,81,-0.199,81,-0.33,81,-3.832,81,-3.762
82,-0.662,82,-0.653,82,-3.618,82,-2.954,82,-0.142,82,-0.288,82,-3.827,82,-3.606
83,-0.665,83,-0.658,83,-3.663,83,-3.2,83,-0.195,83,-0.198,83,-3.836,83,-3.682
84,-0.659,84,-0.652,84,-3.643,84,-3.353,84,-0.158,84,-0.254,84,-3.834,84,-3.75
85,-0.661,85,-0.657,85,-3.646,85,-3.112,85,-0.207,85,-0.227,85,-3.833,85,-3.673
86,-0.661,86,-0.656,86,-3.648,86,-3.25,86,-0.227,86,-0.176,86,-3.834,86,-3.706
87,-0.659,87,-0.641,87,-3.634,87,-3.238,87,-0.178,87,-0.222,87,-3.831,87,-3.717
