HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,0.57,1,0.22,1,0.79,1,0.83,1,0.56,1,0.23,1,0.79,1,0.96
2,0.58,2,0.23,2,0.75,2,0.83,2,0.59,2,0.24,2,0.73,2,0.95
3,0.59,3,0.25,3,0.71,3,0.83,3,0.58,3,0.25,3,0.69,3,0.95
4,0.59,4,0.26,4,0.69,4,0.81,4,0.58,4,0.26,4,0.66,4,0.91
5,0.6,5,0.27,5,0.65,5,0.83,5,0.58,5,0.28,5,0.62,5,0.95
6,0.61,6,0.29,6,0.62,6,0.82,6,0.59,6,0.29,6,0.59,6,0.94
7,0.62,7,0.3,7,0.6,7,0.82,7,0.6,7,0.3,7,0.57,7,0.93
8,0.63,8,0.32,8,0.59,8,0.82,8,0.61,8,0.31,8,0.56,8,0.94
9,0.63,9,0.34,9,0.57,9,0.82,9,0.62,9,0.34,9,0.55,9,0.92
10,0.65,10,0.36,10,0.55,10,0.82,10,0.64,10,0.35,10,0.53,10,0.93
11,0.65,11,0.38,11,0.54,11,0.82,11,0.65,11,0.37,11,0.52,11,0.92
12,0.66,12,0.39,12,0.52,12,0.81,12,0.66,12,0.39,12,0.5,12,0.92
13,0.67,13,0.42,13,0.51,13,0.81,13,0.68,13,0.41,13,0.49,13,0.92
14,0.68,14,0.44,14,0.5,14,0.81,14,0.7,14,0.43,14,0.48,14,0.91
15,0.69,15,0.47,15,0.48,15,0.8,15,0.72,15,0.45,15,0.46,15,0.89
16,0.71,16,0.48,16,0.47,16,0.81,16,0.73,16,0.46,16,0.45,16,0.91
17,0.72,17,0.52,17,0.45,17,0.79,17,0.75,17,0.5,17,0.44,17,0.88
18,0.73,18,0.54,18,0.45,18,0.8,18,0.77,18,0.52,18,0.44,18,0.88
19,0.75,19,0.57,19,0.44,19,0.8,19,0.78,19,0.54,19,0.42,19,0.88
20,0.76,20,0.58,20,0.43,20,0.79,20,0.79,20,0.55,20,0.41,20,0.87
21,0.78,21,0.63,21,0.42,21,0.8,21,0.81,21,0.59,21,0.41,21,0.89
22,0.78,22,0.63,22,0.42,22,0.79,22,0.82,22,0.6,22,0.4,22,0.87
23,0.79,23,0.68,23,0.4,23,0.78,23,0.83,23,0.63,23,0.39,23,0.84
24,0.8,24,0.7,24,0.4,24,0.79,24,0.85,24,0.65,24,0.39,24,0.87
25,0.8,25,0.72,25,0.39,25,0.78,25,0.85,25,0.67,25,0.38,25,0.85
26,0.81,26,0.73,26,0.38,26,0.79,26,0.87,26,0.68,26,0.38,26,0.86
27,0.81,27,0.74,27,0.37,27,0.77,27,0.87,27,0.7,27,0.37,27,0.84
28,0.82,28,0.76,28,0.37,28,0.79,28,0.88,28,0.71,28,0.36,28,0.85
29,0.81,29,0.77,29,0.36,29,0.78,29,0.87,29,0.72,29,0.35,29,0.86
30,0.82,30,0.79,30,0.35,30,0.77,30,0.88,30,0.74,30,0.35,30,0.85
