Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,-2.865,1,-3.786,1,-1.589,1,-1.377,1,-3.193,1,-3.858,1,-2.026,1,-0.119
2,-2.75,2,-3.777,2,-1.803,2,-1.415,2,-2.964,2,-3.856,2,-2.535,2,-0.44
3,-2.74,3,-3.776,3,-2.017,3,-1.622,3,-3.096,3,-3.854,3,-2.781,3,-0.895
4,-2.604,4,-3.786,4,-2.169,4,-1.407,4,-3.096,4,-3.859,4,-2.978,4,-0.385
5,-2.547,5,-3.785,5,-2.462,5,-1.406,5,-3.069,5,-3.859,5,-3.131,5,-0.423
6,-2.39,6,-3.78,6,-2.565,6,-1.803,6,-2.965,6,-3.857,6,-3.233,6,-1.333
7,-2.288,7,-3.784,7,-2.73,7,-1.62,7,-2.874,7,-3.86,7,-3.361,7,-0.948
8,-2.163,8,-3.779,8,-2.789,8,-1.449,8,-2.69,8,-3.858,8,-3.402,8,-0.59
9,-2.123,9,-3.78,9,-2.938,9,-1.802,9,-2.606,9,-3.861,9,-3.477,9,-1.141
10,-1.942,10,-3.773,10,-3.046,10,-1.893,10,-2.429,10,-3.857,10,-3.536,10,-1.547
11,-1.829,11,-3.766,11,-3.133,11,-2.46,11,-2.26,11,-3.856,11,-3.554,11,-2.041
12,-1.771,12,-3.765,12,-3.198,12,-1.663,12,-2.159,12,-3.856,12,-3.582,12,-1.123
13,-1.727,13,-3.755,13,-3.309,13,-1.557,13,-1.989,13,-3.852,13,-3.606,13,-0.903
14,-1.595,14,-3.754,14,-3.357,14,-2.294,14,-1.858,14,-3.852,14,-3.648,14,-1.999
15,-1.613,15,-3.733,15,-3.412,15,-2.228,15,-1.691,15,-3.845,15,-3.668,15,-1.762
16,-1.577,16,-3.711,16,-3.417,16,-2.054,16,-1.591,16,-3.841,16,-3.672,16,-1.765
17,-1.524,17,-3.708,17,-3.48,17,-2.226,17,-1.51,17,-3.841,17,-3.689,17,-2.068
18,-1.469,18,-3.683,18,-3.505,18,-2.137,18,-1.427,18,-3.834,18,-3.71,18,-1.782
19,-1.427,19,-3.646,19,-3.538,19,-2.032,19,-1.391,19,-3.827,19,-3.714,19,-1.653
20,-1.423,20,-3.633,20,-3.581,20,-2.508,20,-1.316,20,-3.817,20,-3.742,20,-2.243
21,-1.419,21,-3.596,21,-3.617,21,-2.45,21,-1.3,21,-3.806,21,-3.749,21,-2.125
22,-1.406,22,-3.555,22,-3.626,22,-2.741,22,-1.265,22,-3.799,22,-3.755,22,-2.426
23,-1.384,23,-3.494,23,-3.634,23,-1.746,23,-1.185,23,-3.779,23,-3.758,23,-1.174
24,-1.402,24,-3.474,24,-3.606,24,-2.222,24,-1.163,24,-3.763,24,-3.75,24,-2.083
25,-1.371,25,-3.431,25,-3.619,25,-1.932,25,-1.036,25,-3.75,25,-3.757,25,-1.757
26,-1.364,26,-3.382,26,-3.632,26,-1.993,26,-0.933,26,-3.73,26,-3.76,26,-1.727
27,-1.347,27,-3.288,27,-3.652,27,-1.616,27,-1.01,27,-3.706,27,-3.77,27,-1.161
28,-1.343,28,-3.211,28,-3.669,28,-2.653,28,-0.987,28,-3.674,28,-3.777,28,-2.584
29,-1.313,29,-3.139,29,-3.661,29,-2.12,29,-0.953,29,-3.666,29,-3.775,29,-2.018
30,-1.333,30,-3.065,30,-3.677,30,-2.471,30,-0.894,30,-3.613,30,-3.788,30,-2.391
31,-1.336,31,-2.961,31,-3.686,31,-1.964,31,-0.908,31,-3.573,31,-3.792,31,-1.901
32,-1.341,32,-2.845,32,-3.705,32,-2.695,32,-0.87,32,-3.535,32,-3.801,32,-2.512
33,-1.32,33,-2.821,33,-3.71,33,-2.158,33,-0.859,33,-3.48,33,-3.803,33,-1.968
34,-1.367,34,-2.585,34,-3.728,34,-1.922,34,-0.852,34,-3.37,34,-3.809,34,-1.728
35,-1.317,35,-2.532,35,-3.71,35,-2.198,35,-0.841,35,-3.335,35,-3.804,35,-2.121
36,-1.353,36,-2.384,36,-3.705,36,-2.189,36,-0.735,36,-3.228,36,-3.805,36,-2.268
37,-1.371,37,-2.242,37,-3.713,37,-2.584,37,-0.707,37,-3.132,37,-3.806,37,-2.599
38,-1.329,38,-2.154,38,-3.722,38,-2.344,38,-0.661,38,-3.032,38,-3.81,38,-2.457
39,-1.342,39,-2.031,39,-3.724,39,-2.267,39,-0.707,39,-2.952,39,-3.811,39,-2.156
40,-1.344,40,-1.883,40,-3.727,40,-3.111,40,-0.769,40,-2.825,40,-3.813,40,-3.193
41,-1.36,41,-1.856,41,-3.72,41,-2.827,41,-0.665,41,-2.77,41,-3.812,41,-2.885
42,-1.346,42,-1.738,42,-3.731,42,-2.132,42,-0.627,42,-2.627,42,-3.814,42,-2.27
43,-1.369,43,-1.606,43,-3.731,43,-2.947,43,-0.626,43,-2.507,43,-3.816,43,-2.98
44,-1.396,44,-1.605,44,-3.734,44,-2.507,44,-0.587,44,-2.418,44,-3.819,44,-2.646
45,-1.38,45,-1.531,45,-3.719,45,-2.619,45,-0.553,45,-2.279,45,-3.815,45,-2.716
46,-1.395,46,-1.486,46,-3.73,46,-2.643,46,-0.567,46,-2.159,46,-3.818,46,-2.817
47,-1.384,47,-1.459,47,-3.727,47,-3.236,47,-0.562,47,-2.066,47,-3.819,47,-3.413
48,-1.407,48,-1.442,48,-3.737,48,-2.774,48,-0.549,48,-2.041,48,-3.824,48,-3.013
49,-1.393,49,-1.416,49,-3.74,49,-2.681,49,-0.565,49,-1.913,49,-3.826,49,-2.684
50,-1.394,50,-1.349,50,-3.745,50,-3.225,50,-0.548,50,-1.76,50,-3.826,50,-3.345
51,-1.408,51,-1.438,51,-3.745,51,-2.677,51,-0.552,51,-1.74,51,-3.829,51,-2.936
52,-1.404,52,-1.424,52,-3.755,52,-2.703,52,-0.497,52,-1.73,52,-3.832,52,-2.82
53,-1.393,53,-1.392,53,-3.745,53,-2.584,53,-0.541,53,-1.575,53,-3.83,53,-2.837
54,-1.362,54,-1.411,54,-3.755,54,-2.588,54,-0.468,54,-1.486,54,-3.831,54,-2.761
55,-1.377,55,-1.409,55,-3.754,55,-3.082,55,-0.496,55,-1.362,55,-3.832,55,-3.206
56,-1.339,56,-1.37,56,-3.751,56,-2.793,56,-0.464,56,-1.41,56,-3.832,56,-2.868
57,-1.353,57,-1.387,57,-3.756,57,-2.874,57,-0.512,57,-1.314,57,-3.834,57,-2.964
58,-1.374,58,-1.394,58,-3.748,58,-3.089,58,-0.471,58,-1.19,58,-3.835,58,-3.333
59,-1.394,59,-1.404,59,-3.755,59,-2.93,59,-0.416,59,-1.319,59,-3.837,59,-3.183
60,-1.4,60,-1.398,60,-3.749,60,-3.023,60,-0.37,60,-1.023,60,-3.835,60,-3.32
61,-1.378,61,-1.392,61,-3.748,61,-2.498,61,-0.405,61,-0.97,61,-3.835,61,-2.846
62,-1.391,62,-1.397,62,-3.749,62,-2.953,62,-0.434,62,-0.986,62,-3.837,62,-3.114
63,-1.372,63,-1.347,63,-3.75,63,-2.937,63,-0.414,63,-0.949,63,-3.836,63,-3.239
64,-1.375,64,-1.373,64,-3.752,64,-3.034,64,-0.398,64,-0.86,64,-3.839,64,-3.309
65,-1.385,65,-1.359,65,-3.744,65,-2.681,65,-0.372,65,-0.804,65,-3.836,65,-2.892
66,-1.386,66,-1.36,66,-3.743,66,-2.91,66,-0.385,66,-0.866,66,-3.836,66,-3.23
